Title	Genres	Year	Directors	IMDb Rating	Runtime (mins)	URL
Up	animation, adventure, comedy, drama, family, fantasy	2009	Pete Docter, Bob Peterson	8.3	96	http://www.imdb.com/title/tt1049413/
The Lion King	animation, adventure, drama, family, musical	1994	Roger Allers, Rob Minkoff	8.4	89	http://www.imdb.com/title/tt0110357/
Toy Story	animation, adventure, comedy, family, fantasy	1995	John Lasseter	8.3	81	http://www.imdb.com/title/tt0114709/
Finding Nemo	animation, adventure, comedy, family	2003	Andrew Stanton, Lee Unkrich	8.1	100	http://www.imdb.com/title/tt0266543/
Despicable Me	animation, comedy, crime, family, fantasy	2010	Pierre Coffin, Chris Renaud	7.6	95	http://www.imdb.com/title/tt1323594/
How to Train Your Dragon	animation, adventure, comedy, drama, family, fantasy	2010	Dean DeBlois, Chris Sanders	8.2	98	http://www.imdb.com/title/tt0892769/
Tangled	animation, comedy, family, fantasy, musical, romance	2010	Nathan Greno, Byron Howard	7.8	100	http://www.imdb.com/title/tt0398286/
Toy Story 3	animation, adventure, comedy, family, fantasy	2010	Lee Unkrich	8.5	103	http://www.imdb.com/title/tt0435761/
Brave	animation, action, adventure, comedy, family, fantasy	2012	Mark Andrews, Brenda Chapman	7.2	93	http://www.imdb.com/title/tt1217209/
Hotel Transylvania	animation, comedy, family, fantasy	2012	Genndy Tartakovsky	7	91	http://www.imdb.com/title/tt0837562/
Rise of the Guardians	animation, adventure, family, fantasy	2012	Peter Ramsey	7.2	97	http://www.imdb.com/title/tt1446192/
Wreck-It Ralph	animation, adventure, comedy, family	2012	Rich Moore	7.8	108	http://www.imdb.com/title/tt1772341/
The Croods	animation, adventure, comedy, family	2013	Kirk De Micco, Chris Sanders	7.5	98	http://www.imdb.com/title/tt0481499/
Outback	animation, adventure, family	2012	Kyung Ho Lee	4.1	85	http://www.imdb.com/title/tt1867086/
Aladdin	animation, adventure, comedy, family, fantasy, musical, romance	1992	Ron Clements, John Musker	7.9	90	http://www.imdb.com/title/tt0103639/
Toy Story 2	animation, adventure, comedy, family, fantasy	1999	John Lasseter, Ash Brannon	7.9	92	http://www.imdb.com/title/tt0120363/
Monsters, Inc.	animation, adventure, comedy, family, fantasy	2001	Pete Docter, David Silverman	8	92	http://www.imdb.com/title/tt0198781/
Spirited Away	animation, adventure, family, fantasy	2001	Hayao Miyazaki	8.6	125	http://www.imdb.com/title/tt0245429/
The Incredibles	animation, action, adventure, family	2004	Brad Bird	8	115	http://www.imdb.com/title/tt0317705/
Cars	animation, adventure, comedy, family, sport	2006	John Lasseter, Joe Ranft	7.3	117	http://www.imdb.com/title/tt0317219/
Ratatouille	animation, comedy, family, fantasy	2007	Brad Bird, Jan Pinkava	8	111	http://www.imdb.com/title/tt0382932/
WALL·E	animation, adventure, family, romance, sci_fi	2008	Andrew Stanton	8.5	98	http://www.imdb.com/title/tt0910970/
Cars 2	animation, adventure, comedy, family	2011	John Lasseter, Brad Lewis	6.3	106	http://www.imdb.com/title/tt1216475/
Rio	animation, adventure, comedy, family, musical	2011	Carlos Saldanha	6.9	96	http://www.imdb.com/title/tt1436562/
Ice Age: Continental Drift	animation, adventure, comedy, family	2012	Steve Martino, Michael Thurmeier	6.6	88	http://www.imdb.com/title/tt1667889/
The Lorax	animation, comedy, family, fantasy	2012	Chris Renaud, Kyle Balda	6.3	86	http://www.imdb.com/title/tt1482459/
Madagascar 3: Europe's Most Wanted	animation, adventure, comedy, family	2012	Eric Darnell, Tom McGrath	6.9	93	http://www.imdb.com/title/tt1277953/
ParaNorman	animation, adventure, comedy, family, fantasy	2012	Chris Butler, Sam Fell	7	92	http://www.imdb.com/title/tt1623288/
Monsters University	animation, adventure, comedy, family, fantasy	2013	Dan Scanlon	7.8	110	http://www.imdb.com/title/tt1453405/
Despicable Me 2	animation, comedy, family	2013	Pierre Coffin, Chris Renaud		98	http://www.imdb.com/title/tt1690953/
Teenage Mutant Ninja Turtles	animation, action, adventure, comedy, fantasy, sci_fi	2014	Jonathan Liebesman			http://www.imdb.com/title/tt1291150/
Escape from Planet Earth	animation, adventure, comedy, family, sci_fi	2013	Callan Brunker	5.5	89	http://www.imdb.com/title/tt0765446/
Epic	animation, adventure, family, fantasy	2013	Chris Wedge	6.8	102	http://www.imdb.com/title/tt0848537/
The Little Mermaid	animation, family, fantasy, musical, romance	1989	Ron Clements, John Musker	7.5	83	http://www.imdb.com/title/tt0097757/
Who Framed Roger Rabbit	animation, comedy, crime, family, fantasy	1988	Robert Zemeckis	7.7	104	http://www.imdb.com/title/tt0096438/
Beauty and the Beast	animation, family, fantasy, musical, romance	1991	Gary Trousdale, Kirk Wise	8	84	http://www.imdb.com/title/tt0101414/
Shrek	animation, adventure, comedy, family, fantasy	2001	Andrew Adamson, Vicky Jenson	7.9	90	http://www.imdb.com/title/tt0126029/
