Title	Genres	Year	Directors	IMDb Rating	Runtime (mins)	URL
The Aviator	biography, drama	2004	Martin Scorsese	7.5	170	http://www.imdb.com/title/tt0338751/
The Social Network	biography, drama	2010	David Fincher	7.9	120	http://www.imdb.com/title/tt1285016/
Goodfellas	biography, crime, drama, thriller	1990	Martin Scorsese	8.8	146	http://www.imdb.com/title/tt0099685/
Schindler's List	biography, drama, history, war	1993	Steven Spielberg	8.9	195	http://www.imdb.com/title/tt0108052/
Lincoln	biography, drama, history, war	2012	Steven Spielberg	7.5	150	http://www.imdb.com/title/tt0443272/
The Intouchables	biography, comedy, drama	2011	Olivier Nakache, Eric Toledano	8.5	112	http://www.imdb.com/title/tt1675434/
Hitchcock	biography, drama	2012	Sacha Gervasi	6.9	98	http://www.imdb.com/title/tt0975645/
42	biography, drama, sport	2013	Brian Helgeland	7.6	128	http://www.imdb.com/title/tt0453562/
Remember the Titans	biography, drama, sport	2000	Boaz Yakin	7.6	113	http://www.imdb.com/title/tt0210945/
A Beautiful Mind	biography, drama	2001	Ron Howard	8.1	135	http://www.imdb.com/title/tt0268978/
The Blind Side	biography, drama, sport	2009	John Lee Hancock	7.6	129	http://www.imdb.com/title/tt0878804/
The King's Speech	biography, drama, history	2010	Tom Hooper	8.1	118	http://www.imdb.com/title/tt1504320/
Moneyball	biography, drama, sport	2011	Bennett Miller	7.6	133	http://www.imdb.com/title/tt1210166/
My Week with Marilyn	biography, drama	2011	Simon Curtis	7	99	http://www.imdb.com/title/tt1655420/
Rush	action, biography, drama, sport	2013	Ron Howard		123	http://www.imdb.com/title/tt1979320/
Blow	biography, crime, drama	2001	Ted Demme	7.5	124	http://www.imdb.com/title/tt0221027/
Catch Me If You Can	biography, comedy, crime, drama	2002	Steven Spielberg	7.9	141	http://www.imdb.com/title/tt0264464/
The Pianist	biography, drama, history, war	2002	Roman Polanski	8.5	150	http://www.imdb.com/title/tt0253474/
The Pursuit of Happyness	biography, drama	2006	Gabriele Muccino	7.8	117	http://www.imdb.com/title/tt0454921/
American Gangster	biography, crime, drama	2007	Ridley Scott	7.8	157	http://www.imdb.com/title/tt0765429/
Public Enemies	biography, crime, drama, history	2009	Michael Mann	7	140	http://www.imdb.com/title/tt1152836/
