Title	Genres	Year	Directors	IMDb Rating	Runtime (mins)	URL
The Campaign	comedy	2012	Jay Roach	6.1	85	http://www.imdb.com/title/tt1790886/
Pain & Gain	comedy, crime, drama, thriller	2013	Michael Bay	6.9	129	http://www.imdb.com/title/tt1980209/
Back to the Future	adventure, comedy, sci_fi	1985	Robert Zemeckis	8.5	116	http://www.imdb.com/title/tt0088763/
The Breakfast Club	comedy, drama	1985	John Hughes	7.9	97	http://www.imdb.com/title/tt0088847/
The Goonies	adventure, comedy, family	1985	Richard Donner	7.7	114	http://www.imdb.com/title/tt0089218/
Toy Story	animation, adventure, comedy, family, fantasy	1995	John Lasseter	8.3	81	http://www.imdb.com/title/tt0114709/
The Big Lebowski	comedy, crime	1998	Joel Coen	8.2	117	http://www.imdb.com/title/tt0118715/
Finding Nemo	animation, adventure, comedy, family	2003	Andrew Stanton, Lee Unkrich	8.1	100	http://www.imdb.com/title/tt0266543/
Anchorman: The Legend of Ron Burgundy	comedy	2004	Adam McKay	7.2	94	http://www.imdb.com/title/tt0357413/
Mean Girls	comedy	2004	Mark Waters	6.9	97	http://www.imdb.com/title/tt0377092/
Tropic Thunder	action, comedy	2008	Ben Stiller	7	107	http://www.imdb.com/title/tt0942385/
The Hangover	comedy	2009	Todd Phillips	7.8	100	http://www.imdb.com/title/tt1119646/
Up	animation, adventure, comedy, drama, family, fantasy	2009	Pete Docter, Bob Peterson	8.3	96	http://www.imdb.com/title/tt1049413/
Zombieland	comedy, horror	2009	Ruben Fleischer	7.7	88	http://www.imdb.com/title/tt1156398/
Despicable Me	animation, comedy, crime, family, fantasy	2010	Pierre Coffin, Chris Renaud	7.6	95	http://www.imdb.com/title/tt1323594/
Grown Ups	comedy	2010	Dennis Dugan	5.8	102	http://www.imdb.com/title/tt1375670/
How to Train Your Dragon	animation, adventure, comedy, drama, family, fantasy	2010	Dean DeBlois, Chris Sanders	8.2	98	http://www.imdb.com/title/tt0892769/
Kick-Ass	action, comedy, crime	2010	Matthew Vaughn	7.8	117	http://www.imdb.com/title/tt1250777/
Red	action, comedy, crime, thriller	2010	Robert Schwentke	7	111	http://www.imdb.com/title/tt1245526/
Toy Story 3	animation, adventure, comedy, family, fantasy	2010	Lee Unkrich	8.5	103	http://www.imdb.com/title/tt0435761/
21 Jump Street	action, comedy, crime	2012	Phil Lord, Christopher Miller	7.2	109	http://www.imdb.com/title/tt1232829/
American Reunion	comedy	2012	Jon Hurwitz, Hayden Schlossberg	6.8	113	http://www.imdb.com/title/tt1605630/
Brave	animation, action, adventure, comedy, family, fantasy	2012	Mark Andrews, Brenda Chapman	7.2	93	http://www.imdb.com/title/tt1217209/
Dark Shadows	comedy, fantasy	2012	Tim Burton	6.3	113	http://www.imdb.com/title/tt1077368/
The Guilt Trip	comedy	2012	Anne Fletcher	5.7	95	http://www.imdb.com/title/tt1694020/
Here Comes the Boom	action, comedy	2012	Frank Coraci	6.4	105	http://www.imdb.com/title/tt1648179/
Hotel Transylvania	animation, comedy, family, fantasy	2012	Genndy Tartakovsky	7	91	http://www.imdb.com/title/tt0837562/
Magic Mike	comedy, drama	2012	Steven Soderbergh	6.1	110	http://www.imdb.com/title/tt1915581/
Men in Black 3	action, comedy, sci_fi	2012	Barry Sonnenfeld	6.9	106	http://www.imdb.com/title/tt1409024/
Parental Guidance	comedy	2012	Andy Fickman	5.8	105	http://www.imdb.com/title/tt1047540/
Project X	comedy	2012	Nima Nourizadeh	6.6	88	http://www.imdb.com/title/tt1636826/
Seven Psychopaths	comedy, crime	2012	Martin McDonagh	7.2	110	http://www.imdb.com/title/tt1931533/
Ted	comedy, fantasy	2012	Seth MacFarlane	7.1	106	http://www.imdb.com/title/tt1637725/
That's My Boy	comedy	2012	Sean Anders	5.5	116	http://www.imdb.com/title/tt1232200/
This Is 40	comedy	2012	Judd Apatow	6.2	134	http://www.imdb.com/title/tt1758830/
Wreck-It Ralph	animation, adventure, comedy, family	2012	Rich Moore	7.8	108	http://www.imdb.com/title/tt1772341/
Spring Breakers	comedy, drama	2012	Harmony Korine	6.4	94	http://www.imdb.com/title/tt2101441/
The Incredible Burt Wonderstone	comedy	2013	Don Scardino	5.9	100	http://www.imdb.com/title/tt0790628/
The Croods	animation, adventure, comedy, family	2013	Kirk De Micco, Chris Sanders	7.5	98	http://www.imdb.com/title/tt0481499/
A Haunted House	comedy, horror	2013	Michael Tiddes	4.8	86	http://www.imdb.com/title/tt2243537/
This Is the End	action, comedy	2013	Evan Goldberg, Seth Rogen	8	107	http://www.imdb.com/title/tt1245492/
R.I.P.D.	action, comedy, crime, fantasy	2013	Robert Schwentke			http://www.imdb.com/title/tt0790736/
The Hangover Part III	comedy	2013	Todd Phillips	6.2	100	http://www.imdb.com/title/tt1951261/
Kick-Ass 2	action, comedy, crime, thriller	2013	Jeff Wadlow		113	http://www.imdb.com/title/tt1650554/
Iron Sky	action, comedy, sci_fi	2012	Timo Vuorensola	6	93	http://www.imdb.com/title/tt1034314/
Stand Up Guys	comedy, crime	2012	Fisher Stevens	6.5	95	http://www.imdb.com/title/tt1389096/
Scary MoVie	comedy	2013	Malcolm D. Lee	3.7	86	http://www.imdb.com/title/tt0795461/
The Way, Way Back	comedy, drama	2013	Nat Faxon, Jim Rash	7.4	103	http://www.imdb.com/title/tt1727388/
Grown Ups 2	comedy	2013	Dennis Dugan		101	http://www.imdb.com/title/tt2191701/
Identity Thief	comedy, crime	2013	Seth Gordon	5.6	111	http://www.imdb.com/title/tt2024432/
The Big Wedding	comedy	2013	Justin Zackham	5.2	89	http://www.imdb.com/title/tt1931435/
Movie 43	comedy	2013	Bob Odenkirk, Elizabeth Banks	4.4	94	http://www.imdb.com/title/tt1333125/
Ghostbusters	comedy, family, fantasy	1984	Ivan Reitman	7.8	105	http://www.imdb.com/title/tt0087332/
The Truman Show	comedy, drama, sci_fi	1998	Peter Weir	8	103	http://www.imdb.com/title/tt0120382/
Office Space	comedy, crime	1999	Mike Judge	7.8	89	http://www.imdb.com/title/tt0151804/
Toy Story 2	animation, adventure, comedy, family, fantasy	1999	John Lasseter, Ash Brannon	7.9	92	http://www.imdb.com/title/tt0120363/
Scary Movie	comedy	2000	Keenen Ivory Wayans	6.1	88	http://www.imdb.com/title/tt0175142/
Monsters, Inc.	animation, adventure, comedy, family, fantasy	2001	Pete Docter, David Silverman	8	92	http://www.imdb.com/title/tt0198781/
Dodgeball: A True Underdog Story	comedy, sport	2004	Rawson Marshall Thurber	6.6	92	http://www.imdb.com/title/tt0364725/
Napoleon Dynamite	comedy	2004	Jared Hess	6.8	82	http://www.imdb.com/title/tt0374900/
Shaun of the Dead	comedy, horror	2004	Edgar Wright	8	99	http://www.imdb.com/title/tt0365748/
Cars	animation, adventure, comedy, family, sport	2006	John Lasseter, Joe Ranft	7.3	117	http://www.imdb.com/title/tt0317219/
Talladega Nights: The Ballad of Ricky Bobby	action, comedy, sport	2006	Adam McKay	6.4	108	http://www.imdb.com/title/tt0415306/
Ratatouille	animation, comedy, family, fantasy	2007	Brad Bird, Jan Pinkava	8	111	http://www.imdb.com/title/tt0382932/
Superbad	comedy	2007	Greg Mottola	7.6	113	http://www.imdb.com/title/tt0829482/
Pineapple Express	action, comedy, crime	2008	David Gordon Green	7	111	http://www.imdb.com/title/tt0910936/
Role Models	comedy	2008	David Wain	6.9	99	http://www.imdb.com/title/tt0430922/
Step Brothers	comedy	2008	Adam McKay	6.7	98	http://www.imdb.com/title/tt0838283/
Due Date	comedy, drama	2010	Todd Phillips	6.5	95	http://www.imdb.com/title/tt1231583/
Get Him to the Greek	comedy, music	2010	Nicholas Stoller	6.4	109	http://www.imdb.com/title/tt1226229/
The Other Guys	action, comedy, crime	2010	Adam McKay	6.6	107	http://www.imdb.com/title/tt1386588/
Bad Teacher	comedy	2011	Jake Kasdan	5.7	92	http://www.imdb.com/title/tt1284575/
Cars 2	animation, adventure, comedy, family	2011	John Lasseter, Brad Lewis	6.3	106	http://www.imdb.com/title/tt1216475/
The Change-Up	comedy	2011	David Dobkin	6.3	112	http://www.imdb.com/title/tt1488555/
The Hangover Part II	comedy	2011	Todd Phillips	6.5	102	http://www.imdb.com/title/tt1411697/
Horrible Bosses	comedy, crime	2011	Seth Gordon	6.9	98	http://www.imdb.com/title/tt1499658/
Paul	adventure, comedy, sci_fi	2011	Greg Mottola	7	104	http://www.imdb.com/title/tt1092026/
Rio	animation, adventure, comedy, family, musical	2011	Carlos Saldanha	6.9	96	http://www.imdb.com/title/tt1436562/
50/50	comedy, drama	2011	Jonathan Levine	7.8	100	http://www.imdb.com/title/tt1306980/
The Descendants	comedy, drama	2011	Alexander Payne	7.4	115	http://www.imdb.com/title/tt1033575/
The Dictator	comedy	2012	Larry Charles	6.4	83	http://www.imdb.com/title/tt1645170/
Fun Size	comedy	2012	Josh Schwartz	5.1	86	http://www.imdb.com/title/tt1663143/
Ice Age: Continental Drift	animation, adventure, comedy, family	2012	Steve Martino, Michael Thurmeier	6.6	88	http://www.imdb.com/title/tt1667889/
The Lorax	animation, comedy, family, fantasy	2012	Chris Renaud, Kyle Balda	6.3	86	http://www.imdb.com/title/tt1482459/
Madagascar 3: Europe's Most Wanted	animation, adventure, comedy, family	2012	Eric Darnell, Tom McGrath	6.9	93	http://www.imdb.com/title/tt1277953/
The Odd Life of Timothy Green	comedy, drama, fantasy	2012	Peter Hedges	6.4	105	http://www.imdb.com/title/tt1462769/
ParaNorman	animation, adventure, comedy, family, fantasy	2012	Chris Butler, Sam Fell	7	92	http://www.imdb.com/title/tt1623288/
Wanderlust	comedy	2012	David Wain	5.6	98	http://www.imdb.com/title/tt1655460/
The Watch	comedy, sci_fi	2012	Akiva Schaffer	5.7	102	http://www.imdb.com/title/tt1298649/
