Title	Genres	Year	Directors	IMDb Rating	Runtime (mins)	URL
The Godfather: Part II	crime, drama	1974	Francis Ford Coppola	9	200	http://www.imdb.com/title/tt0071562/
The Godfather	crime, drama	1972	Francis Ford Coppola	9.2	175	http://www.imdb.com/title/tt0068646/
Goodfellas	biography, crime, drama, thriller	1990	Martin Scorsese	8.8	146	http://www.imdb.com/title/tt0099685/
The Silence of the Lambs	crime, drama, thriller	1991	Jonathan Demme	8.7	118	http://www.imdb.com/title/tt0102926/
Pulp Fiction	crime, drama, thriller	1994	Quentin Tarantino	9	154	http://www.imdb.com/title/tt0110912/
The Shawshank Redemption	crime, drama	1994	Frank Darabont	9.3	142	http://www.imdb.com/title/tt0111161/
Se7en	crime, mystery, thriller	1995	David Fincher	8.7	127	http://www.imdb.com/title/tt0114369/
The Big Lebowski	comedy, crime	1998	Joel Coen	8.2	117	http://www.imdb.com/title/tt0118715/
Sin City	crime, thriller	2005	Frank Miller, Robert Rodriguez	8.2	124	http://www.imdb.com/title/tt0401792/
Batman Begins	action, adventure, crime, drama	2005	Christopher Nolan	8.3	140	http://www.imdb.com/title/tt0372784/
The Departed	crime, drama, thriller	2006	Martin Scorsese	8.5	151	http://www.imdb.com/title/tt0407887/
Casino Royale	action, crime, thriller	2006	Martin Campbell	7.9	144	http://www.imdb.com/title/tt0381061/
Shooter	action, crime, drama, mystery, thriller	2007	Antoine Fuqua	7.1	124	http://www.imdb.com/title/tt0822854/
The Dark Knight	action, crime, drama, thriller	2008	Christopher Nolan	9	152	http://www.imdb.com/title/tt0468569/
Quantum of Solace	action, adventure, crime, thriller	2008	Marc Forster	6.7	106	http://www.imdb.com/title/tt0830515/
Taken	action, crime, thriller	2008	Pierre Morel	7.9	93	http://www.imdb.com/title/tt0936501/
Despicable Me	animation, comedy, crime, family, fantasy	2010	Pierre Coffin, Chris Renaud	7.6	95	http://www.imdb.com/title/tt1323594/
Kick-Ass	action, comedy, crime	2010	Matthew Vaughn	7.8	117	http://www.imdb.com/title/tt1250777/
Red	action, comedy, crime, thriller	2010	Robert Schwentke	7	111	http://www.imdb.com/title/tt1245526/
Drive	crime, drama	2011	Nicolas Winding Refn	7.9	100	http://www.imdb.com/title/tt0780504/
Fast Five	action, crime, thriller	2011	Justin Lin	7.3	130	http://www.imdb.com/title/tt1596343/
The Girl with the Dragon Tattoo	crime, drama, mystery, thriller	2011	David Fincher	7.9	158	http://www.imdb.com/title/tt1568346/
21 Jump Street	action, comedy, crime	2012	Phil Lord, Christopher Miller	7.2	109	http://www.imdb.com/title/tt1232829/
The Dark Knight Rises	action, crime, thriller	2012	Christopher Nolan	8.6	165	http://www.imdb.com/title/tt1345836/
Django Unchained	adventure, western	2012	Quentin Tarantino	8.5	165	http://www.imdb.com/title/tt1853728/
End of Watch	action, crime, drama, thriller	2012	David Ayer	7.6	109	http://www.imdb.com/title/tt1855199/
Jack Reacher	action, crime, thriller	2012	Christopher McQuarrie	7	130	http://www.imdb.com/title/tt0790724/
Killing Them Softly	crime, thriller	2012	Andrew Dominik	6.3	97	http://www.imdb.com/title/tt1764234/
Lawless	crime, drama	2012	John Hillcoat	7.3	116	http://www.imdb.com/title/tt1212450/
Looper	action, crime, sci_fi, thriller	2012	Rian Johnson	7.6	119	http://www.imdb.com/title/tt1276104/
Man on a Ledge	action, crime, thriller	2012	Asger Leth	6.6	102	http://www.imdb.com/title/tt1568338/
Savages	crime, drama, thriller	2012	Oliver Stone	6.5	131	http://www.imdb.com/title/tt1615065/
Seven Psychopaths	comedy, crime	2012	Martin McDonagh	7.2	110	http://www.imdb.com/title/tt1931533/
Skyfall	action, adventure, thriller	2012	Sam Mendes	7.8	143	http://www.imdb.com/title/tt1074638/
Taken 2	action, crime, thriller	2012	Olivier Megaton	6.2	92	http://www.imdb.com/title/tt1397280/
A Good Day to Die Hard	action, crime, thriller	2013	John Moore	5.4	98	http://www.imdb.com/title/tt1606378/
Trance	crime, drama, mystery, thriller	2013	Danny Boyle	7.2	101	http://www.imdb.com/title/tt1924429/
Side Effects	crime, drama, thriller	2013	Steven Soderbergh	7.2	106	http://www.imdb.com/title/tt2053463/
The Place Beyond the Pines	crime, drama	2012	Derek Cianfrance	7.6	140	http://www.imdb.com/title/tt1817273/
R.I.P.D.	action, comedy, crime, fantasy	2013	Robert Schwentke			http://www.imdb.com/title/tt0790736/
Kick-Ass 2	action, comedy, crime, thriller	2013	Jeff Wadlow		113	http://www.imdb.com/title/tt1650554/
Stand Up Guys	comedy, crime	2012	Fisher Stevens	6.5	95	http://www.imdb.com/title/tt1389096/
The Boondock Saints	action, crime, thriller	1999	Troy Duffy	7.8	108	http://www.imdb.com/title/tt0144117/
Broken City	crime, drama, thriller	2013	Allen Hughes	6.1	109	http://www.imdb.com/title/tt1235522/
Gangster Squad	action, crime, drama, thriller	2013	Ruben Fleischer	6.8	113	http://www.imdb.com/title/tt1321870/
Fast & Furious 6	action, crime, thriller	2013	Justin Lin	7.6	130	http://www.imdb.com/title/tt1905041/
Pain & Gain	comedy, crime, drama, thriller	2013	Michael Bay	6.9	129	http://www.imdb.com/title/tt1980209/
Pawn	crime, thriller	2013	David A. Armstrong	5.7	88	http://www.imdb.com/title/tt1551630/
Assassins Run	action, crime, thriller	2013	Robert Crombie	4.3	90	http://www.imdb.com/title/tt1502417/
The Bling Ring	crime, drama	2013	Sofia Coppola	6.6	90	http://www.imdb.com/title/tt2132285/
Identity Thief	comedy, crime	2013	Seth Gordon	5.6	111	http://www.imdb.com/title/tt2024432/
Welcome to the Punch	action, adventure, crime, thriller	2013	Eran Creevy	6.1	99	http://www.imdb.com/title/tt1684233/
Only God Forgives	crime, drama, thriller	2013	Nicolas Winding Refn	6.6	90	http://www.imdb.com/title/tt1602613/
A Clockwork Orange	crime, drama, sci_fi	1971	Stanley Kubrick	8.4	136	http://www.imdb.com/title/tt0066921/
The Outsiders	crime, drama	1983	Francis Coppola	7.1	91	http://www.imdb.com/title/tt0086066/
Scarface	crime, drama, thriller	1983	Brian De Palma	8.3	170	http://www.imdb.com/title/tt0086250/
Léon: The Professional	crime, drama, thriller	1994	Luc Besson	8.6	110	http://www.imdb.com/title/tt0110413/
The Usual Suspects	crime, mystery, thriller	1995	Bryan Singer	8.7	106	http://www.imdb.com/title/tt0114814/
Heat	action, crime, drama, thriller	1995	Michael Mann	8.3	170	http://www.imdb.com/title/tt0113277/
The Green Mile	crime, drama, fantasy, mystery	1999	Frank Darabont	8.5	189	http://www.imdb.com/title/tt0120689/
Office Space	comedy, crime	1999	Mike Judge	7.8	89	http://www.imdb.com/title/tt0151804/
American Psycho	crime, drama	2000	Mary Harron	7.6	102	http://www.imdb.com/title/tt0144084/
Snatch.	crime, thriller	2000	Guy Ritchie	8.3	104	http://www.imdb.com/title/tt0208092/
Hannibal	crime, drama, thriller	2001	Ridley Scott	6.6	131	http://www.imdb.com/title/tt0212985/
The Italian Job	action, crime, thriller	2003	F. Gary Gray	6.9	111	http://www.imdb.com/title/tt0317740/
Kill Bill: Vol. 1	action, crime, thriller	2003	Quentin Tarantino	8.2	111	http://www.imdb.com/title/tt0266697/
The Bourne Ultimatum	action, crime, thriller	2007	Paul Greengrass	8.1	115	http://www.imdb.com/title/tt0440963/
Live Free or Die Hard	action, crime, thriller	2007	Len Wiseman	7.3	128	http://www.imdb.com/title/tt0337978/
No Country for Old Men	crime, drama, thriller	2007	Ethan Coen, Joel Coen	8.2	122	http://www.imdb.com/title/tt0477348/
Pineapple Express	action, comedy, crime	2008	David Gordon Green	7	111	http://www.imdb.com/title/tt0910936/
RocknRolla	action, crime, thriller	2008	Guy Ritchie	7.3	114	http://www.imdb.com/title/tt1032755/
Wanted	action, crime, thriller	2008	Timur Bekmambetov	6.7	110	http://www.imdb.com/title/tt0493464/
Law Abiding Citizen	crime, drama, thriller	2009	F. Gary Gray	7.3	109	http://www.imdb.com/title/tt1197624/
Sherlock Holmes	action, adventure, crime, mystery, thriller	2009	Guy Ritchie	7.6	128	http://www.imdb.com/title/tt0988045/
The Other Guys	action, comedy, crime	2010	Adam McKay	6.6	107	http://www.imdb.com/title/tt1386588/
Salt	action, crime, mystery, thriller	2010	Phillip Noyce	6.4	100	http://www.imdb.com/title/tt0944835/
The Town	crime, drama, thriller	2010	Ben Affleck	7.6	125	http://www.imdb.com/title/tt0840361/
Horrible Bosses	comedy, crime	2011	Seth Gordon	6.9	98	http://www.imdb.com/title/tt1499658/
Sherlock Holmes: A Game of Shadows	action, adventure, crime, mystery, thriller	2011	Guy Ritchie	7.4	129	http://www.imdb.com/title/tt1515091/
Alex Cross	action, crime, mystery, thriller	2012	Rob Cohen	4.9	101	http://www.imdb.com/title/tt1712170/
Contraband	action, crime, drama, thriller	2012	Baltasar Kormákur	6.4	109	http://www.imdb.com/title/tt1524137/
Safe House	action, crime, mystery, thriller	2012	Daniel Espinosa	6.8	115	http://www.imdb.com/title/tt1599348/
The Last Stand	action, crime, thriller	2013	Kim Jee-Woon	6.5	107	http://www.imdb.com/title/tt1549920/
Stolen	action, crime, drama, thriller	2012	Simon West	5.3	96	http://www.imdb.com/title/tt1656186/
Deadfall	crime, drama, thriller	2012	Stefan Ruzowitzky	6.3	95	http://www.imdb.com/title/tt1667310/
The Tall Man	crime, drama, mystery, thriller	2012	Pascal Laugier	5.9	106	http://www.imdb.com/title/tt1658837/
Fast & Furious	action, crime, drama, thriller	2009	Justin Lin	6.5	107	http://www.imdb.com/title/tt1013752/
American History X	crime, drama	1998	Tony Kaye	8.6	119	http://www.imdb.com/title/tt0120586/
Trainspotting	crime, drama	1996	Danny Boyle	8.2	94	http://www.imdb.com/title/tt0117951/
Reservoir Dogs	crime, thriller	1992	Quentin Tarantino	8.4	99	http://www.imdb.com/title/tt0105236/
Java Heat	action, crime, drama, thriller	2013	Conor Allyn	5	104	http://www.imdb.com/title/tt2083231/
Dead Man Down	action, crime, drama, thriller	2013	Niels Arden Oplev	6.6	118	http://www.imdb.com/title/tt2101341/
Sin City: A Dame to Kill For	action, crime, thriller	2013	Frank Miller, Robert Rodriguez			http://www.imdb.com/title/tt0458481/
Parker	action, crime	2013	Taylor Hackford	6.1	118	http://www.imdb.com/title/tt1904996/
The Man with the Golden Gun	action, adventure, crime, thriller	1974	Guy Hamilton	6.7	125	http://www.imdb.com/title/tt0071807/
Taxi Driver	crime, drama	1976	Martin Scorsese	8.5	113	http://www.imdb.com/title/tt0075314/
The Untouchables	crime, drama, history, thriller	1987	Brian De Palma	8	119	http://www.imdb.com/title/tt0094226/
Who Framed Roger Rabbit	animation, comedy, crime, family, fantasy	1988	Robert Zemeckis	7.7	104	http://www.imdb.com/title/tt0096438/
Bad Boys	action, comedy, crime, drama, thriller	1995	Michael Bay	6.7	118	http://www.imdb.com/title/tt0112442/
GoldenEye	action, crime, thriller	1995	Martin Campbell	7.2	130	http://www.imdb.com/title/tt0113189/
Fargo	crime, drama	1996	Joel Coen	8.2	98	http://www.imdb.com/title/tt0116282/
L.A. Confidential	crime, drama, mystery, thriller	1997	Curtis Hanson	8.4	138	http://www.imdb.com/title/tt0119488/
O Brother, Where Art Thou?	comedy, adventure, crime, music	2000	Joel Coen	7.8	106	http://www.imdb.com/title/tt0190590/
Blow	biography, crime, drama	2001	Ted Demme	7.5	124	http://www.imdb.com/title/tt0221027/
The Fast and the Furious	action, crime, thriller	2001	Rob Cohen	6.4	106	http://www.imdb.com/title/tt0232500/
Ocean's Eleven	crime, thriller	2001	Steven Soderbergh	7.7	116	http://www.imdb.com/title/tt0240772/
Training Day	action, crime, drama, thriller	2001	Antoine Fuqua	7.6	122	http://www.imdb.com/title/tt0139654/
The Bourne Identity	action, mystery, thriller	2002	Doug Liman	7.9	119	http://www.imdb.com/title/tt0258463/
Catch Me If You Can	biography, comedy, crime, drama	2002	Steven Spielberg	7.9	141	http://www.imdb.com/title/tt0264464/
Mystic River	crime, drama, mystery, thriller	2003	Clint Eastwood	8	138	http://www.imdb.com/title/tt0327056/
The Bourne Supremacy	action, crime, thriller	2004	Paul Greengrass	7.7	108	http://www.imdb.com/title/tt0372183/
Collateral	crime, drama, thriller	2004	Michael Mann	7.6	120	http://www.imdb.com/title/tt0369339/
Kill Bill: Vol. 2	action, crime, thriller	2004	Quentin Tarantino	8	137	http://www.imdb.com/title/tt0378194/
The Fast and the Furious: Tokyo Drift	action, crime, drama, thriller	2006	Justin Lin	5.7	104	http://www.imdb.com/title/tt0463985/
Inside Man	crime, drama, thriller	2006	Spike Lee	7.7	129	http://www.imdb.com/title/tt0454848/
American Gangster	biography, crime, drama	2007	Ridley Scott	7.8	157	http://www.imdb.com/title/tt0765429/
Hitman	action, crime, drama, thriller	2007	Xavier Gens	6.2	89	http://www.imdb.com/title/tt0465494/
Zodiac	crime, drama, mystery, thriller	2007	David Fincher	7.7	157	http://www.imdb.com/title/tt0443706/
Public Enemies	biography, crime, drama, history	2009	Michael Mann	7	140	http://www.imdb.com/title/tt1152836/
Drive Angry	action, crime, fantasy, thriller	2011	Patrick Lussier	5.5	104	http://www.imdb.com/title/tt1502404/
The Green Hornet	action, comedy, crime, sci_fi, thriller	2011	Michel Gondry	5.9	119	http://www.imdb.com/title/tt0990407/
The Lincoln Lawyer	crime, drama, thriller	2011	Brad Furman	7.3	118	http://www.imdb.com/title/tt1189340/
Colombiana	action, crime, drama, thriller	2011	Olivier Megaton	6.2	108	http://www.imdb.com/title/tt1657507/
J. Edgar	biography, crime, drama, history	2011	Clint Eastwood	6.6	137	http://www.imdb.com/title/tt1616195/
Killer Elite	action, crime, thriller	2011	Gary McKendry	6.4	116	http://www.imdb.com/title/tt1448755/
Tower Heist	action, comedy, crime	2011	Brett Ratner	6.2	104	http://www.imdb.com/title/tt0471042/
The Raid: Redemption	action, crime, thriller	2011	Gareth Huw Evans	7.6	101	http://www.imdb.com/title/tt1899353/
Safe	action, crime, thriller	2012	Boaz Yakin	6.5	94	http://www.imdb.com/title/tt1656190/
The Wolf of Wall Street	biography, crime, drama	2013	Martin Scorsese			http://www.imdb.com/title/tt0993846/
Robot & Frank	comedy, crime, drama, sci_fi	2012	Jake Schreier	7.1	89	http://www.imdb.com/title/tt1990314/
Seal Team Six: The Raid on Osama Bin Laden	action, crime, drama, thriller	2012	John Stockwell	5.4	90	http://www.imdb.com/title/tt2095605/
Compliance	crime, drama, thriller	2012	Craig Zobel	6.4	90	http://www.imdb.com/title/tt1971352/
Bullet to the Head	action, crime, thriller	2012	Walter Hill	5.8	92	http://www.imdb.com/title/tt1308729/
Gambit	comedy, crime	2012	Michael Hoffman	5.6	89	http://www.imdb.com/title/tt0404978/
The Baytown Outlaws	action, comedy, crime	2012	Barry Battles	6	98	http://www.imdb.com/title/tt1836944/
Killer Joe	crime, thriller	2011	William Friedkin	6.8	102	http://www.imdb.com/title/tt1726669/
In Bruges	comedy, crime, drama, thriller	2008	Martin McDonagh	8	107	http://www.imdb.com/title/tt0780536/
Like Minds	crime, horror, mystery, thriller	2006	Gregory J. Read	6.2	110	http://www.imdb.com/title/tt0425196/
Lock, Stock and Two Smoking Barrels	crime, thriller	1998	Guy Ritchie	8.2	107	http://www.imdb.com/title/tt0120735/
