Title	Genres	Year	Directors	IMDb Rating	Runtime (mins)	URL
Happy	documentary, drama, family	2011	Roko Belic	6.7	76	http://www.imdb.com/title/tt1613092/
African Cats	documentary, adventure	2011	Alastair Fothergill, Keith Scholey	7.3	89	http://www.imdb.com/title/tt1223236/
For the Bible Tells Me So	documentary	2007	Daniel G. Karslake	7.7	95	http://www.imdb.com/title/tt0912583/
The Queen of Versailles	documentary	2012	Lauren Greenfield	7	100	http://www.imdb.com/title/tt2125666/
5 Broken Cameras	documentary	2011	Emad Burnat, Guy Davidi	7.6	94	http://www.imdb.com/title/tt2125423/
The Atomic States of America	documentary, history, news	2012	Don Argott, Sheena M. Joyce	6.8	95	http://www.imdb.com/title/tt2088919/
The House I Live In	documentary	2012	Eugene Jarecki	7.7	108	http://www.imdb.com/title/tt2125653/
Escape Fire: The Fight to Rescue American Healthcare	documentary, news	2012	Susan Frömke, Matthew Heineman	6.4	95	http://www.imdb.com/title/tt2093109/
A Place at the Table	documentary	2012	Kristi Jacobson, Lori Silverbush	6.5	84	http://www.imdb.com/title/tt1736049/
We're Not Broke	documentary	2012	Victoria Bruce, Karin Hayes	6.6		http://www.imdb.com/title/tt2124998/
Incident in New Baghdad	documentary, biography, war	2011	James Spione	5.7	22	http://www.imdb.com/title/tt1746180/
The Greatest Movie Ever Sold	documentary, comedy	2011	Morgan Spurlock	6.6	90	http://www.imdb.com/title/tt1743720/
Fahrenheit 9/11	documentary, history, war	2004	Michael Moore	7.5	122	http://www.imdb.com/title/tt0361596/
Booker's Place: A Mississippi Story	documentary, history, mystery, news	2012	Raymond De Felitta	7	90	http://www.imdb.com/title/tt2129930/
Are All Men Pedophiles?	documentary	2012	Jan-Willem Breure	6.8	70	http://www.imdb.com/title/tt2072045/
Bully	documentary	2011	Lee Hirsch	7.2	98	http://www.imdb.com/title/tt1682181/
Hubble 3D	documentary	2010	Toni Myers	7.7	44	http://www.imdb.com/title/tt1433813/
Undefeated	documentary, sport	2011	Daniel Lindsay, T.J. Martin	7.3	113	http://www.imdb.com/title/tt1860355/
The Aristocrats	documentary, comedy	2005	Paul Provenza	6.3	89	http://www.imdb.com/title/tt0436078/
Little Sister's vs. Big Brother	documentary	2002	Aerlyn Weissman	7.2	71	http://www.imdb.com/title/tt0396102/
My Enemy's Enemy	documentary	2007	Kevin Macdonald	7.3	87	http://www.imdb.com/title/tt0896952/
Fighter	documentary	2000	Amir Bar-Lev	7	91	http://www.imdb.com/title/tt0263338/
Hitler, a Career	documentary	1977	Joachim C. Fest, Christian Herrendoerfer	7.6	150	http://www.imdb.com/title/tt0191182/
The Third Reich, in Color	documentary, war	1998	Michael Kloft	6.9	105	http://www.imdb.com/title/tt0243872/
Truth & Conviction	documentary	2002	Matt Whitaker	6	60	http://www.imdb.com/title/tt0420975/
Chernobyl Heart	documentary	2003	Maryann DeLeo	7.6	39	http://www.imdb.com/title/tt0396959/
If You Love This Planet	documentary	1982	Terri Nash	7.1	26	http://www.imdb.com/title/tt0084118/
The Trials of Henry Kissinger	documentary	2002	Eugene Jarecki	7.6	80	http://www.imdb.com/title/tt0326306/
102 Minutes That Changed America	documentary, history	2008	Nicole Rittenmeyer, Seth Skundrick	7.7	102	http://www.imdb.com/title/tt1312203/
This Is What Democracy Looks Like	documentary	2000	Jill Friedberg, Rick Rowley	7.2	72	http://www.imdb.com/title/tt0265871/
The Cult of the Suicide Bomber	documentary	2005	David Batty, Kevin Toolis	6.9	96	http://www.imdb.com/title/tt0817498/
Root of All Evil?	documentary	2006	Russell Barnes	7.8	90	http://www.imdb.com/title/tt0774118/
BattleGround: 21 Days on the Empire's Edge	documentary	2004	Stephen Marshall	7.2	82	http://www.imdb.com/title/tt0426409/
Ghosts of Abu Ghraib	documentary, history, war	2007	Rory Kennedy	7.7	78	http://www.imdb.com/title/tt0912585/
Body of War	documentary, war	2007	Phil Donahue, Ellen Spiro	7.6	87	http://www.imdb.com/title/tt1068634/
Hacking Democracy	documentary	2006	Simon Ardizzone, Russell Michaels	7.7	82	http://www.imdb.com/title/tt0808532/
The End of America	documentary	2008	Ricki Stern, Anne Sundberg	7.2		http://www.imdb.com/title/tt1294790/
Death in Gaza	documentary	2004	James Miller	7.7	80	http://www.imdb.com/title/tt0412631/
Violence: An American Tradition	documentary	1995		7.1		http://www.imdb.com/title/tt0324451/
Girlhood	documentary, crime	2003	Liz Garbus	7.3	82	http://www.imdb.com/title/tt0368745/
Aileen: Life and Death of a Serial Killer	documentary, crime	2003	Nick Broomfield, Joan Churchill	7.3	93	http://www.imdb.com/title/tt0364930/
Serial Killers	documentary, biography, crime	1994		6.6	90	http://www.imdb.com/title/tt0281181/
Iconoclast	documentary, music	2010	Larry Wessel	6.8	233	http://www.imdb.com/title/tt1827439/
The Diary of Jack the Ripper: Beyond Reasonable Doubt?	documentary	1993	Martin Howells, Chris Short	6.9	79	http://www.imdb.com/title/tt0333330/
Confessions of an Innocent Man	documentary, biography	2007	David Paperny	6.7	90	http://www.imdb.com/title/tt1260704/
Paradise Lost 2: Revelations	documentary	2000	Joe Berlinger, Bruce Sinofsky	7.6	130	http://www.imdb.com/title/tt0239894/
The Staircase	documentary, crime	2004	Jean-Xavier de Lestrade	7.5	360	http://www.imdb.com/title/tt0388644/
The Trials of Darryl Hunt	documentary, crime	2006	Ricki Stern, Anne Sundberg	7.7	106	http://www.imdb.com/title/tt0446055/
Forbidden Lie$	documentary, drama	2007	Anna Broinowski	7.5	104	http://www.imdb.com/title/tt0790808/
Bhutto	documentary, biography	2010	Duane Baughman, Johnny O'Hara	7.3	111	http://www.imdb.com/title/tt1524095/
Welcome to Warren	documentary, crime	2004	Brent E. Huffman	6.5	30	http://www.imdb.com/title/tt0758440/
Attica	documentary, crime, history	1974	Cinda Firestone	7.9	80	http://www.imdb.com/title/tt0270211/
Unchained Memories: Readings from the Slave Narratives	documentary	2003	Ed Bell, Thomas Lennon	7.1	75	http://www.imdb.com/title/tt0343129/
The Color of Fear	documentary	1994		6.8	90	http://www.imdb.com/title/tt0484384/
The Ku Klux Klan: A Secret History	documentary, biography, crime, history	1998	Bill Brummel	7.2	89	http://www.imdb.com/title/tt0307072/
Stephen Fry: The Secret Life of the Manic Depressive	documentary	2006	Ross Wilson	7.6	120	http://www.imdb.com/title/tt0808482/
Social Genocide	documentary	2004	Fernando E. Solanas	7.6	120	http://www.imdb.com/title/tt0400647/
Consuming Kids: The Commercialization of Childhood	documentary	2008	Adriana Barbaro, Jeremy Earp	7.3	66	http://www.imdb.com/title/tt1337599/
Children Underground	documentary	2001	Edet Belzberg	7.7	104	http://www.imdb.com/title/tt0264476/
