Title	Genres	Year	Directors	IMDb Rating	Runtime (mins)	URL
The Green Mile	crime, drama, fantasy, mystery	1999	Frank Darabont	8.5	189	http://www.imdb.com/title/tt0120689/
Django Unchained	adventure, western	2012	Quentin Tarantino	8.5	165	http://www.imdb.com/title/tt1853728/
The Godfather	crime, drama	1972	Francis Ford Coppola	9.2	175	http://www.imdb.com/title/tt0068646/
The Breakfast Club	comedy, drama	1985	John Hughes	7.9	97	http://www.imdb.com/title/tt0088847/
Goodfellas	biography, crime, drama, thriller	1990	Martin Scorsese	8.8	146	http://www.imdb.com/title/tt0099685/
The Silence of the Lambs	crime, drama, thriller	1991	Jonathan Demme	8.7	118	http://www.imdb.com/title/tt0102926/
Schindler's List	biography, drama, history, war	1993	Steven Spielberg	8.9	195	http://www.imdb.com/title/tt0108052/
The Lion King	animation, adventure, drama, family, musical	1994	Roger Allers, Rob Minkoff	8.4	89	http://www.imdb.com/title/tt0110357/
The Shawshank Redemption	crime, drama	1994	Frank Darabont	9.3	142	http://www.imdb.com/title/tt0111161/
Braveheart	action, biography, drama, history, war	1995	Mel Gibson	8.4	177	http://www.imdb.com/title/tt0112573/
Saving Private Ryan	action, drama, war	1998	Steven Spielberg	8.6	169	http://www.imdb.com/title/tt0120815/
Fight Club	drama	1999	David Fincher	8.9	139	http://www.imdb.com/title/tt0137523/
Gladiator	action, adventure, drama	2000	Ridley Scott	8.5	155	http://www.imdb.com/title/tt0172495/
Batman Begins	action, adventure, crime, drama	2005	Christopher Nolan	8.3	140	http://www.imdb.com/title/tt0372784/
The Prestige	drama, mystery, thriller	2006	Christopher Nolan	8.4	130	http://www.imdb.com/title/tt0482571/
Shooter	action, crime, drama, mystery, thriller	2007	Antoine Fuqua	7.1	124	http://www.imdb.com/title/tt0822854/
The Dark Knight	action, crime, drama, thriller	2008	Christopher Nolan	9	152	http://www.imdb.com/title/tt0468569/
Inglourious Basterds	adventure, drama, war	2009	Quentin Tarantino	8.3	153	http://www.imdb.com/title/tt0361748/
Up	animation, adventure, comedy, drama, family, fantasy	2009	Pete Docter, Bob Peterson	8.3	96	http://www.imdb.com/title/tt1049413/
How to Train Your Dragon	animation, adventure, comedy, drama, family, fantasy	2010	Dean DeBlois, Chris Sanders	8.2	98	http://www.imdb.com/title/tt0892769/
The Social Network	biography, drama	2010	David Fincher	7.9	120	http://www.imdb.com/title/tt1285016/
Drive	crime, drama	2011	Nicolas Winding Refn	7.9	100	http://www.imdb.com/title/tt0780504/
The Girl with the Dragon Tattoo	crime, drama, mystery, thriller	2011	David Fincher	7.9	158	http://www.imdb.com/title/tt1568346/
The Help	drama	2011	Tate Taylor	8	146	http://www.imdb.com/title/tt1454029/
