Title	Genres	Year	Directors	IMDb Rating	Runtime (mins)	URL
Fat Albert	comedy, family, fantasy, romance	2004	Joel Zwick	4.1	93	http://www.imdb.com/title/tt0396592/
Brother Bear	animation, adventure, family, fantasy	2003	Aaron Blaise, Robert Walker	6.6	85	http://www.imdb.com/title/tt0328880/
Cheaper by the Dozen	comedy, family	2003	Shawn Levy	5.7	98	http://www.imdb.com/title/tt0349205/
Dr. Seuss' The Cat in the Hat	adventure, comedy, family, fantasy	2003	Bo Welch	3.6	82	http://www.imdb.com/title/tt0312528/
Elf	comedy, family, fantasy, romance	2003	Jon Favreau	6.8	97	http://www.imdb.com/title/tt0319343/
Freaky Friday	comedy, family, fantasy	2003	Mark Waters	6.1	97	http://www.imdb.com/title/tt0322330/
Peter Pan	adventure, family, fantasy, romance	2003	P.J. Hogan	6.8	113	http://www.imdb.com/title/tt0316396/
Secondhand Lions	comedy, drama, family	2003	Tim McCanlies	7.4	111	http://www.imdb.com/title/tt0327137/
A Cinderella Story	comedy, family, romance	2004	Mark Rosman	5.6	95	http://www.imdb.com/title/tt0356470/
Confessions of a Teenage Drama Queen	comedy, family, music, romance	2004	Sara Sugarman	4.3	89	http://www.imdb.com/title/tt0361467/
Finding Neverland	biography, drama, family	2004	Marc Forster	7.8	106	http://www.imdb.com/title/tt0308644/
Harry Potter and the Prisoner of Azkaban	adventure, family, fantasy, mystery	2004	Alfonso Cuarón	7.7	142	http://www.imdb.com/title/tt0304141/
The Incredibles	animation, action, adventure, family	2004	Brad Bird	8	115	http://www.imdb.com/title/tt0317705/
Lemony Snicket's A Series of Unfortunate Events	adventure, comedy, family, fantasy	2004	Brad Silberling	6.8	108	http://www.imdb.com/title/tt0339291/
Miracle	drama, family, history, sport	2004	Gavin O'Connor	7.4	135	http://www.imdb.com/title/tt0349825/
The Polar Express	animation, adventure, family, fantasy	2004	Robert Zemeckis	6.5	100	http://www.imdb.com/title/tt0338348/
The Princess Diaries 2: Royal Engagement	comedy, drama, family, romance, thriller	2004	Garry Marshall	5.3	113	http://www.imdb.com/title/tt0368933/
Shark Tale	animation, adventure, comedy, family	2004	Bibo Bergeron, Vicky Jenson	5.9	90	http://www.imdb.com/title/tt0307453/
Shrek 2	animation, adventure, comedy, family, fantasy	2004	Andrew Adamson, Kelly Asbury	7.3	93	http://www.imdb.com/title/tt0298148/
The SpongeBob SquarePants Movie	animation, comedy, family	2004	Stephen Hillenburg, Mark Osborne	6.8	87	http://www.imdb.com/title/tt0345950/
Charlie and the Chocolate Factory	adventure, comedy, family, fantasy	2005	Tim Burton	6.8	115	http://www.imdb.com/title/tt0367594/
Cheaper by the Dozen 2	adventure, comedy, family	2005	Adam Shankman	5.2	94	http://www.imdb.com/title/tt0452598/
Chicken Little	animation, adventure, comedy, family, sci_fi	2005	Mark Dindal	5.8	81	http://www.imdb.com/title/tt0371606/
The Chronicles of Narnia: The Lion, the Witch and the Wardrobe	adventure, family, fantasy	2005	Andrew Adamson	6.9	143	http://www.imdb.com/title/tt0363771/
Harry Potter and the Goblet of Fire	adventure, family, fantasy, mystery	2005	Mike Newell	7.5	157	http://www.imdb.com/title/tt0330373/
Hoodwinked!	animation, comedy, family	2005	Cory Edwards, Todd Edwards	6.5	80	http://www.imdb.com/title/tt0443536/
Madagascar	animation, adventure, comedy, family	2005	Eric Darnell, Tom McGrath	6.8	86	http://www.imdb.com/title/tt0351283/
The Pacifier	action, comedy, drama, family, thriller	2005	Adam Shankman	5.3	95	http://www.imdb.com/title/tt0395699/
Robots	animation, adventure, comedy, family, romance, sci_fi	2005	Chris Wedge, Carlos Saldanha	6.3	91	http://www.imdb.com/title/tt0358082/
Sky High	adventure, comedy, family, sci_fi	2005	Mike Mitchell	6.2	100	http://www.imdb.com/title/tt0405325/
Zathura: A Space Adventure	action, adventure, comedy, family, fantasy, sci_fi	2005	Jon Favreau	6.1	113	http://www.imdb.com/title/tt0406375/
Aquamarine	comedy, family, fantasy, romance	2006	Elizabeth Allen	4.9	104	http://www.imdb.com/title/tt0429591/
Arthur and the Invisibles	animation, adventure, family, fantasy	2006	Luc Besson	5.9	94	http://www.imdb.com/title/tt0344854/
Cars	animation, adventure, comedy, family, sport	2006	John Lasseter, Joe Ranft	7.3	117	http://www.imdb.com/title/tt0317219/
Charlotte's Web	comedy, family, fantasy	2006	Gary Winick	6.4	97	http://www.imdb.com/title/tt0413895/
Eragon	action, adventure, family, fantasy	2006	Stefen Fangmeier	5	104	http://www.imdb.com/title/tt0449010/
Flushed Away	animation, adventure, comedy, family	2006	David Bowers, Sam Fell	6.7	85	http://www.imdb.com/title/tt0424095/
Happy Feet	animation, comedy, family, music	2006	George Miller, Warren Coleman	6.5	108	http://www.imdb.com/title/tt0366548/
Ice Age: The Meltdown	animation, action, adventure, comedy, family, fantasy, romance, sci_fi	2006	Carlos Saldanha	6.8	91	http://www.imdb.com/title/tt0438097/
Monster House	animation, comedy, family, fantasy, mystery	2006	Gil Kenan	6.7	91	http://www.imdb.com/title/tt0385880/
Nacho Libre	comedy, family, sport	2006	Jared Hess	5.6	92	http://www.imdb.com/title/tt0457510/
Nanny McPhee	comedy, family, fantasy	2005	Kirk Jones	6.5	97	http://www.imdb.com/title/tt0396752/
Night at the Museum	action, adventure, comedy, family, fantasy	2006	Shawn Levy	6.3	108	http://www.imdb.com/title/tt0477347/
Open Season	animation, adventure, comedy, family	2006	Roger Allers, Jill Culton	6.1	83	http://www.imdb.com/title/tt0400717/
Over the Hedge	animation, adventure, comedy, family	2006	Tim Johnson, Karey Kirkpatrick	6.8	83	http://www.imdb.com/title/tt0327084/
RV	adventure, comedy, family	2006	Barry Sonnenfeld	5.4	99	http://www.imdb.com/title/tt0449089/
The Wild	animation, adventure, comedy, family	2006	Steve 'Spaz' Williams	5.3	94	http://www.imdb.com/title/tt0405469/
Alvin and the Chipmunks	animation, comedy, family, fantasy, music	2007	Tim Hill	5.2	92	http://www.imdb.com/title/tt0952640/
Bee Movie	animation, adventure, comedy, family	2007	Steve Hickner, Simon J. Smith	6.1	91	http://www.imdb.com/title/tt0389790/
Bridge to Terabithia	adventure, drama, family, fantasy	2007	Gabor Csupo	7.2	96	http://www.imdb.com/title/tt0398808/
Enchanted	comedy, family, fantasy, musical, romance	2007	Kevin Lima	7.2	107	http://www.imdb.com/title/tt0461770/
Evan Almighty	comedy, family, fantasy	2007	Tom Shadyac	5.4	96	http://www.imdb.com/title/tt0413099/
