Title	Genres	Year	Directors	IMDb Rating	Runtime (mins)	URL
Evil Dead II	comedy, fantasy, horror	1987	Sam Raimi	7.8	84	http://www.imdb.com/title/tt0092991/
Hancock	action, fantasy	2008	Peter Berg	6.5	92	http://www.imdb.com/title/tt0448157/
Man of Steel	action, adventure, fantasy, sci_fi	2013	Zack Snyder		143	http://www.imdb.com/title/tt0770828/
Star Wars	action, adventure, fantasy, sci_fi	1977	George Lucas	8.8	121	http://www.imdb.com/title/tt0076759/
Toy Story	animation, adventure, comedy, family, fantasy	1995	John Lasseter	8.3	81	http://www.imdb.com/title/tt0114709/
Star Wars: Episode I - The Phantom Menace	action, adventure, fantasy, sci_fi	1999	George Lucas	6.5	136	http://www.imdb.com/title/tt0120915/
Harry Potter and the Sorcerer's Stone	adventure, family, fantasy	2001	Chris Columbus	7.3	152	http://www.imdb.com/title/tt0241527/
The Lord of the Rings: The Fellowship of the Ring	action, adventure, fantasy	2001	Peter Jackson	8.8	178	http://www.imdb.com/title/tt0120737/
The Lord of the Rings: The Two Towers	action, adventure, fantasy	2002	Peter Jackson	8.7	179	http://www.imdb.com/title/tt0167261/
The Lord of the Rings: The Return of the King	action, adventure, fantasy	2003	Peter Jackson	8.9	201	http://www.imdb.com/title/tt0167260/
Star Wars: Episode III - Revenge of the Sith	action, adventure, fantasy, sci_fi	2005	George Lucas	7.7	140	http://www.imdb.com/title/tt0121766/
V for Vendetta	action, fantasy, sci_fi, thriller	2005	James McTeigue	8.2	132	http://www.imdb.com/title/tt0434409/
300	action, fantasy, history, war	2006	Zack Snyder	7.7	117	http://www.imdb.com/title/tt0416449/
Up	animation, adventure, comedy, drama, family, fantasy	2009	Pete Docter, Bob Peterson	8.3	96	http://www.imdb.com/title/tt1049413/
Avatar	action, adventure, fantasy, sci_fi	2009	James Cameron	8	162	http://www.imdb.com/title/tt0499549/
How to Train Your Dragon	animation, adventure, comedy, drama, family, fantasy	2010	Dean DeBlois, Chris Sanders	8.2	98	http://www.imdb.com/title/tt0892769/
Toy Story 3	animation, adventure, comedy, family, fantasy	2010	Lee Unkrich	8.5	103	http://www.imdb.com/title/tt0435761/
Harry Potter and the Deathly Hallows: Part 2	adventure, family, fantasy, mystery	2011	David Yates	8.1	130	http://www.imdb.com/title/tt1201607/
Pirates of the Caribbean: On Stranger Tides	action, adventure, fantasy	2011	Rob Marshall	6.6	136	http://www.imdb.com/title/tt1298650/
Thor	action, adventure, fantasy	2011	Kenneth Branagh	7	115	http://www.imdb.com/title/tt0800369/
The Amazing Spider-Man	action, adventure, fantasy	2012	Marc Webb	7.1	136	http://www.imdb.com/title/tt0948470/
Brave	animation, action, adventure, comedy, family, fantasy	2012	Mark Andrews, Brenda Chapman	7.2	93	http://www.imdb.com/title/tt1217209/
Dark Shadows	comedy, fantasy	2012	Tim Burton	6.3	113	http://www.imdb.com/title/tt1077368/
The Hobbit: An Unexpected Journey	adventure, fantasy	2012	Peter Jackson	8.1	169	http://www.imdb.com/title/tt0903624/
John Carter	action, adventure, fantasy, sci_fi	2012	Andrew Stanton	6.6	132	http://www.imdb.com/title/tt0401729/
Life of Pi	adventure, drama, fantasy	2012	Ang Lee	8.1	127	http://www.imdb.com/title/tt0454876/
Rise of the Guardians	animation, adventure, family, fantasy	2012	Peter Ramsey	7.2	97	http://www.imdb.com/title/tt1446192/
Snow White and the Huntsman	adventure, drama, fantasy	2012	Rupert Sanders	6.2	127	http://www.imdb.com/title/tt1735898/
Ted	comedy, fantasy	2012	Seth MacFarlane	7.1	106	http://www.imdb.com/title/tt1637725/
Jack the Giant Slayer	adventure, fantasy	2013	Bryan Singer	6.4	114	http://www.imdb.com/title/tt1351685/
Oz the Great and Powerful	adventure, family, fantasy	2013	Sam Raimi	6.6	130	http://www.imdb.com/title/tt1623205/
The Hobbit: The Desolation of Smaug	adventure, fantasy	2013	Peter Jackson			http://www.imdb.com/title/tt1170358/
The Wolverine	action, adventure, fantasy, sci_fi	2013	James Mangold			http://www.imdb.com/title/tt1430132/
Thor: The Dark World	action, adventure, fantasy	2013	Alan Taylor			http://www.imdb.com/title/tt1981115/
The Amazing Spider-Man 2	action, adventure, fantasy	2014	Marc Webb			http://www.imdb.com/title/tt1872181/
Percy Jackson: Sea of Monsters	adventure, family, fantasy	2013	Thor Freudenthal			http://www.imdb.com/title/tt1854564/
Hansel & Gretel: Witch Hunters	action, fantasy, horror	2013	Tommy Wirkola	6.1	88	http://www.imdb.com/title/tt1428538/
Willy Wonka & the Chocolate Factory	family, fantasy, musical	1971	Mel Stuart	7.8	100	http://www.imdb.com/title/tt0067992/
E.T. the Extra-Terrestrial	adventure, family, fantasy, sci_fi	1982	Steven Spielberg	7.9	115	http://www.imdb.com/title/tt0083866/
