Title	Genres	Year	Directors	IMDb Rating	Runtime (mins)	URL
The Good Shepherd	drama, history, thriller	2006	Robert De Niro	6.7	167	http://www.imdb.com/title/tt0343737/
300	action, fantasy, history, war	2006	Zack Snyder	7.7	117	http://www.imdb.com/title/tt0416449/
Argo	drama, history, thriller	2012	Ben Affleck	7.9	120	http://www.imdb.com/title/tt1024648/
Zero Dark Thirty	drama, history, thriller	2012	Kathryn Bigelow	7.5	157	http://www.imdb.com/title/tt1790885/
The Impossible	drama, history, thriller	2012	J.A. Bayona	7.6	114	http://www.imdb.com/title/tt1649419/
Defiance	action, drama, history, thriller, war	2008	Edward Zwick	7.1	137	http://www.imdb.com/title/tt1034303/
Troy	adventure, drama	2004	Wolfgang Petersen	7.1	163	http://www.imdb.com/title/tt0332452/
The Untouchables	crime, drama, history, thriller	1987	Brian De Palma	8	119	http://www.imdb.com/title/tt0094226/
The Last Samurai	action, drama, history, war	2003	Edward Zwick	7.7	154	http://www.imdb.com/title/tt0325710/
Kingdom of Heaven	action, adventure, drama, history, war	2005	Ridley Scott	7.1	144	http://www.imdb.com/title/tt0320661/
The Boy in the Striped Pajamas	drama, history, war	2008	Mark Herman	7.7	94	http://www.imdb.com/title/tt0914798/
Red Tails	action, adventure, drama, history, war	2012	Anthony Hemingway	5.8	125	http://www.imdb.com/title/tt0485985/
Gangs of New York	crime, drama, history	2002	Martin Scorsese	7.5	167	http://www.imdb.com/title/tt0217505/
Valkyrie	drama, history, thriller, war	2008	Bryan Singer	7.1	121	http://www.imdb.com/title/tt0985699/
The Way Back	adventure, drama, history	2010	Peter Weir	7.3	133	http://www.imdb.com/title/tt1023114/
King Arthur	action, adventure, drama, history, war	2004	Antoine Fuqua	6.2	126	http://www.imdb.com/title/tt0349683/
Changeling	drama, history, mystery, thriller	2008	Clint Eastwood	7.8	141	http://www.imdb.com/title/tt0824747/
Into the White	action, drama, war	2012	Petter Næss	7	100	http://www.imdb.com/title/tt1876277/
Apollo 13	drama, history	1995	Ron Howard	7.5	140	http://www.imdb.com/title/tt0112384/
Les Misérables	crime, drama, history, romance	1998	Bille August	7.3	134	http://www.imdb.com/title/tt0119683/
Enemy at the Gates	drama, history, thriller, war	2001	Jean-Jacques Annaud	7.5	131	http://www.imdb.com/title/tt0215750/
Munich	drama, history, thriller	2005	Steven Spielberg	7.6	164	http://www.imdb.com/title/tt0408306/
Letters from Iwo Jima	drama, history, war	2006	Clint Eastwood	7.9	141	http://www.imdb.com/title/tt0498380/
W.E.	drama, history, romance	2011	Madonna	5.5	119	http://www.imdb.com/title/tt1536048/
Glory	drama, history, war	1989	Edward Zwick	7.9	122	http://www.imdb.com/title/tt0097441/
The Prince of Egypt	animation, adventure, drama, family, history, musical	1998	Brenda Chapman, Steve Hickner	6.8	99	http://www.imdb.com/title/tt0120794/
Hero	action, drama, history	2002	Yimou Zhang	7.9	99	http://www.imdb.com/title/tt0299977/
The Greatest Game Ever Played	drama, history, sport	2005	Bill Paxton	7.3	120	http://www.imdb.com/title/tt0388980/
Frost/Nixon	drama, history	2008	Ron Howard	7.7	122	http://www.imdb.com/title/tt0870111/
Anonymous	drama, history, thriller	2011	Roland Emmerich	6.8	130	http://www.imdb.com/title/tt1521197/
Kama Sutra: A Tale of Love	crime, drama, history, romance	1996	Mira Nair	5.6	117	http://www.imdb.com/title/tt0116743/
Empire of the Sun	drama, history, war	1987	Steven Spielberg	7.7	152	http://www.imdb.com/title/tt0092965/
Miracle	drama, family, history, sport	2004	Gavin O'Connor	7.4	135	http://www.imdb.com/title/tt0349825/
Flags of Our Fathers	drama, history, war	2006	Clint Eastwood	7.1	132	http://www.imdb.com/title/tt0418689/
The Killing Fields	drama, history, war	1984	Roland Joffé	7.9	141	http://www.imdb.com/title/tt0087553/
JFK	drama, history, thriller	1991	Oliver Stone	8	189	http://www.imdb.com/title/tt0102138/
Secretariat	drama, family, history, sport	2010	Randall Wallace	7.1	123	http://www.imdb.com/title/tt1028576/
Agora	adventure, drama, history, romance	2009	Alejandro Amenábar	7.1	127	http://www.imdb.com/title/tt1186830/
Amistad	drama, history, mystery	1997	Steven Spielberg	7.1	155	http://www.imdb.com/title/tt0118607/
Good Night, and Good Luck.	drama, history	2005	George Clooney	7.6	93	http://www.imdb.com/title/tt0433383/
United 93	crime, drama, history	2006	Paul Greengrass	7.6	111	http://www.imdb.com/title/tt0475276/
Texas Killing Fields	crime, drama, history, thriller	2011	Ami Canaan Mann	5.7	105	http://www.imdb.com/title/tt1389127/
The Wind That Shakes the Barley	drama, history, war	2006	Ken Loach	7.5	127	http://www.imdb.com/title/tt0460989/
Thirteen Days	drama, history, thriller	2000	Roger Donaldson	7.2	145	http://www.imdb.com/title/tt0146309/
K-19: The Widowmaker	drama, history, thriller, war	2002	Kathryn Bigelow	6.5	138	http://www.imdb.com/title/tt0267626/
Seabiscuit	drama, history, sport	2003	Gary Ross	7.3	140	http://www.imdb.com/title/tt0329575/
Flyboys	action, adventure, drama, history, romance, war	2006	Tony Bill	6.5	140	http://www.imdb.com/title/tt0454824/
Bobby	drama, history	2006	Emilio Estevez	7	120	http://www.imdb.com/title/tt0308055/
Pathfinder	action, adventure, drama, history, thriller, war	2007	Marcus Nispel	5.3	99	http://www.imdb.com/title/tt0446013/
The Crucible	drama, history	1996	Nicholas Hytner	6.8	124	http://www.imdb.com/title/tt0115988/
Gettysburg	drama, history, war	1993	Ronald F. Maxwell	7.5	271	http://www.imdb.com/title/tt0107007/
A Bridge Too Far	drama, history, war	1977	Richard Attenborough	7.3	175	http://www.imdb.com/title/tt0075784/
The Right Stuff	adventure, drama, history, sci_fi	1983	Philip Kaufman	7.9	193	http://www.imdb.com/title/tt0086197/
Quiz Show	drama, history	1994	Robert Redford	7.5	133	http://www.imdb.com/title/tt0110932/
