Title	Genres	Year	Directors	IMDb Rating	Runtime (mins)	URL
The Evil Dead	horror	1981	Sam Raimi	7.6	85	http://www.imdb.com/title/tt0083907/
The Walking Dead	drama, horror, thriller	2010		8.7	45	http://www.imdb.com/title/tt1520211/
Zombieland	comedy, horror	2009	Ruben Fleischer	7.7	88	http://www.imdb.com/title/tt1156398/
The Cabin in the Woods	horror, mystery, thriller	2011	Drew Goddard	7.1	95	http://www.imdb.com/title/tt1259521/
Sinister	horror, mystery, thriller	2012	Scott Derrickson	6.7	110	http://www.imdb.com/title/tt1922777/
A Haunted House	comedy, horror	2013	Michael Tiddes	4.8	86	http://www.imdb.com/title/tt2243537/
World War Z	action, drama, horror, sci_fi, thriller	2013	Marc Forster	7.3	116	http://www.imdb.com/title/tt0816711/
The Lords of Salem	horror, thriller	2012	Rob Zombie	5.3	101	http://www.imdb.com/title/tt1731697/
Antiviral	horror, sci_fi, thriller	2012	Brandon Cronenberg	5.6	108	http://www.imdb.com/title/tt2099556/
Under the Bed	horror	2012	Steven C. Miller	4.1	87	http://www.imdb.com/title/tt1934458/
Evil Dead	horror	2013	Fede Alvarez	7	91	http://www.imdb.com/title/tt1288558/
Mama	horror, thriller	2013	Andy Muschietti	6.3	100	http://www.imdb.com/title/tt2023587/
Dark Skies	horror, sci_fi, thriller	2013	Scott Stewart	6.2	97	http://www.imdb.com/title/tt2387433/
The Haunting in Connecticut 2: Ghosts of Georgia	drama, horror, thriller	2013	Tom Elkins	4.9	100	http://www.imdb.com/title/tt1457765/
Hansel & Gretel: Witch Hunters	action, fantasy, horror	2013	Tommy Wirkola	6.1	88	http://www.imdb.com/title/tt1428538/
The Purge	horror, sci_fi, thriller	2013	James DeMonaco	5.8	85	http://www.imdb.com/title/tt2184339/
Alien	horror, sci_fi	1979	Ridley Scott	8.5	117	http://www.imdb.com/title/tt0078748/
Shaun of the Dead	comedy, horror	2004	Edgar Wright	8	99	http://www.imdb.com/title/tt0365748/
Scream 4	horror, mystery	2011	Wes Craven	6.2	111	http://www.imdb.com/title/tt1262416/
Abraham Lincoln: Vampire Hunter	action, fantasy, horror, thriller	2012	Timur Bekmambetov	5.9	105	http://www.imdb.com/title/tt1611224/
Chernobyl Diaries	horror, sci_fi	2012	Bradley Parker	5	86	http://www.imdb.com/title/tt1991245/
The Collection	action, horror, thriller	2012	Marcus Dunstan	6	82	http://www.imdb.com/title/tt1748227/
House at the End of the Street	horror, thriller	2012	Mark Tonderai	5.4	101	http://www.imdb.com/title/tt1582507/
Resident Evil: Retribution	action, horror, sci_fi, thriller	2012	Paul W.S. Anderson	5.2	96	http://www.imdb.com/title/tt1855325/
Silent Hill: Revelation 3D	horror, mystery, thriller	2012	Michael J. Bassett	5	94	http://www.imdb.com/title/tt0938330/
Carrie	drama, horror	2013	Kimberly Peirce			http://www.imdb.com/title/tt1939659/
John Dies at the End	comedy, fantasy, horror, sci_fi	2012	Don Coscarelli	6.4	99	http://www.imdb.com/title/tt1783732/
The Awakening	horror, thriller	2011	Nick Murphy	6.4	107	http://www.imdb.com/title/tt1687901/
The Shining	horror, mystery	1980	Stanley Kubrick	8.5	146	http://www.imdb.com/title/tt0081505/
A Resurrection	horror, thriller	2013	Matt Orlando	3.9		http://www.imdb.com/title/tt1817276/
Jaws	adventure, horror, thriller	1975	Steven Spielberg	8.2	124	http://www.imdb.com/title/tt0073195/
Army of Darkness	comedy, fantasy, horror	1992	Sam Raimi	7.6	81	http://www.imdb.com/title/tt0106308/
28 Days Later...	horror, sci_fi, thriller	2002	Danny Boyle	7.6	113	http://www.imdb.com/title/tt0289043/
Silent Hill	horror, mystery	2006	Christophe Gans	6.5	125	http://www.imdb.com/title/tt0384537/
The Mist	horror, sci_fi, thriller	2007	Frank Darabont	7.2	126	http://www.imdb.com/title/tt0884328/
Insidious	horror, thriller	2010	James Wan	6.7	103	http://www.imdb.com/title/tt1591095/
Red Riding Hood	fantasy, horror, mystery, thriller	2011	Catherine Hardwicke	5.2	100	http://www.imdb.com/title/tt1486185/
Frankenweenie	animation, comedy, family, horror, sci_fi	2012	Tim Burton	7	87	http://www.imdb.com/title/tt1142977/
Paranormal Activity 4	horror	2012	Henry Joost, Ariel Schulman	4.4	88	http://www.imdb.com/title/tt2109184/
The Possession	horror, thriller	2012	Ole Bornedal	5.8	92	http://www.imdb.com/title/tt0431021/
Underworld: Awakening	action, fantasy, horror	2012	Mårlind, Stein	6.3	88	http://www.imdb.com/title/tt1496025/
The Woman in Black	drama, horror, thriller	2012	James Watkins	6.4	95	http://www.imdb.com/title/tt1596365/
American Mary	horror, thriller	2012	Jen Soska, Sylvia Soska	6.1	103	http://www.imdb.com/title/tt1959332/
Would You Rather	horror, thriller	2012	David Guy Levy	5.8	93	http://www.imdb.com/title/tt1999995/
The Conjuring	horror, thriller	2013	James Wan	7.2	112	http://www.imdb.com/title/tt1457767/
The Exorcist	horror, thriller	1973	William Friedkin	8	122	http://www.imdb.com/title/tt0070047/
The Thing	horror, mystery, sci_fi, thriller	1982	John Carpenter	8.2	109	http://www.imdb.com/title/tt0084787/
The Lost Boys	comedy, horror	1987	Joel Schumacher	7.1	97	http://www.imdb.com/title/tt0093437/
From Dusk Till Dawn	action, crime, horror	1996	Robert Rodriguez	7.2	108	http://www.imdb.com/title/tt0116367/
Scream	crime, horror, mystery	1996	Wes Craven	7.2	111	http://www.imdb.com/title/tt0117571/
