Title	Genres	Year	Directors	IMDb Rating	Runtime (mins)	URL
Shutter Island	mystery, thriller	2010	Martin Scorsese	8	138	http://www.imdb.com/title/tt1130884/
Oblivion	action, adventure, sci_fi	2013	Joseph Kosinski	7.1	124	http://www.imdb.com/title/tt1483013/
Se7en	crime, mystery, thriller	1995	David Fincher	8.7	127	http://www.imdb.com/title/tt0114369/
The Prestige	drama, mystery, thriller	2006	Christopher Nolan	8.4	130	http://www.imdb.com/title/tt0482571/
Shooter	action, crime, drama, mystery, thriller	2007	Antoine Fuqua	7.1	124	http://www.imdb.com/title/tt0822854/
Inception	action, adventure, mystery, sci_fi, thriller	2010	Christopher Nolan	8.8	148	http://www.imdb.com/title/tt1375666/
Harry Potter and the Deathly Hallows: Part 2	adventure, family, fantasy, mystery	2011	David Yates	8.1	130	http://www.imdb.com/title/tt1201607/
Limitless	mystery, sci_fi, thriller	2011	Neil Burger	7.3	105	http://www.imdb.com/title/tt1219289/
The Girl with the Dragon Tattoo	crime, drama, mystery, thriller	2011	David Fincher	7.9	158	http://www.imdb.com/title/tt1568346/
The Bourne Legacy	action, adventure, mystery, thriller	2012	Tony Gilroy	6.7	135	http://www.imdb.com/title/tt1194173/
The Cabin in the Woods	horror, mystery, thriller	2011	Drew Goddard	7.1	95	http://www.imdb.com/title/tt1259521/
Cloud Atlas	adventure, drama, sci_fi	2012	Tom Tykwer, Andy Wachowski	7.7	172	http://www.imdb.com/title/tt1371111/
Prometheus	adventure, mystery, sci_fi	2012	Ridley Scott	7.2	124	http://www.imdb.com/title/tt1446714/
Sinister	horror, mystery, thriller	2012	Scott Derrickson	6.7	110	http://www.imdb.com/title/tt1922777/
The Usual Suspects	crime, mystery, thriller	1995	Bryan Singer	8.7	106	http://www.imdb.com/title/tt0114814/
The Green Mile	crime, drama, fantasy, mystery	1999	Frank Darabont	8.5	189	http://www.imdb.com/title/tt0120689/
The Sixth Sense	drama, mystery, thriller	1999	M. Night Shyamalan	8.2	107	http://www.imdb.com/title/tt0167404/
Harry Potter and the Prisoner of Azkaban	adventure, family, fantasy, mystery	2004	Alfonso Cuarón	7.7	142	http://www.imdb.com/title/tt0304141/
Harry Potter and the Goblet of Fire	adventure, family, fantasy, mystery	2005	Mike Newell	7.5	157	http://www.imdb.com/title/tt0330373/
Harry Potter and the Half-Blood Prince	adventure, family, fantasy, mystery	2009	David Yates	7.4	153	http://www.imdb.com/title/tt0417741/
Watchmen	action, drama, mystery, sci_fi	2009	Zack Snyder	7.6	162	http://www.imdb.com/title/tt0409459/
Sherlock Holmes	action, adventure, crime, mystery, thriller	2009	Guy Ritchie	7.6	128	http://www.imdb.com/title/tt0988045/
Black Swan	drama, mystery, thriller	2010	Darren Aronofsky	8.1	108	http://www.imdb.com/title/tt0947798/
Harry Potter and the Deathly Hallows: Part 1	adventure, family, fantasy, mystery	2010	David Yates	7.6	146	http://www.imdb.com/title/tt0926084/
Salt	action, crime, mystery, thriller	2010	Phillip Noyce	6.4	100	http://www.imdb.com/title/tt0944835/
Scream 4	horror, mystery	2011	Wes Craven	6.2	111	http://www.imdb.com/title/tt1262416/
Source Code	mystery, sci_fi, thriller	2011	Duncan Jones	7.5	93	http://www.imdb.com/title/tt0945513/
Super 8	mystery, sci_fi, thriller	2011	J.J. Abrams	7.1	112	http://www.imdb.com/title/tt1650062/
Hugo	adventure, drama, family, mystery	2011	Martin Scorsese	7.6	126	http://www.imdb.com/title/tt0970179/
Sherlock Holmes: A Game of Shadows	action, adventure, crime, mystery, thriller	2011	Guy Ritchie	7.4	129	http://www.imdb.com/title/tt1515091/
Tinker Tailor Soldier Spy	drama, mystery, thriller	2011	Tomas Alfredson	7.1	127	http://www.imdb.com/title/tt1340800/
Alex Cross	action, crime, mystery, thriller	2012	Rob Cohen	4.9	101	http://www.imdb.com/title/tt1712170/
The Raven	mystery, thriller	2012	James McTeigue	6.3	110	http://www.imdb.com/title/tt1486192/
Safe House	action, crime, mystery, thriller	2012	Daniel Espinosa	6.8	115	http://www.imdb.com/title/tt1599348/
Silent Hill: Revelation 3D	horror, mystery, thriller	2012	Michael J. Bassett	5	94	http://www.imdb.com/title/tt0938330/
Stoker	drama, mystery, thriller	2013	Chan-wook Park	7.2	99	http://www.imdb.com/title/tt1682180/
Oldboy	action, drama, mystery, thriller	2013	Spike Lee			http://www.imdb.com/title/tt1321511/
The Tall Man	crime, drama, mystery, thriller	2012	Pascal Laugier	5.9	106	http://www.imdb.com/title/tt1658837/
Memento	mystery, thriller	2000	Christopher Nolan	8.6	113	http://www.imdb.com/title/tt0209144/
Donnie Darko	drama, sci_fi	2001	Richard Kelly	8.1	113	http://www.imdb.com/title/tt0246578/
The Shining	horror, mystery	1980	Stanley Kubrick	8.5	146	http://www.imdb.com/title/tt0081505/
Twelve Monkeys	mystery, sci_fi, thriller	1995	Terry Gilliam	8.1	129	http://www.imdb.com/title/tt0114746/
L.A. Confidential	crime, drama, mystery, thriller	1997	Curtis Hanson	8.4	138	http://www.imdb.com/title/tt0119488/
The Bourne Identity	action, mystery, thriller	2002	Doug Liman	7.9	119	http://www.imdb.com/title/tt0258463/
Harry Potter and the Chamber of Secrets	adventure, family, fantasy, mystery	2002	Chris Columbus	7.2	161	http://www.imdb.com/title/tt0295297/
Minority Report	action, mystery, sci_fi, thriller	2002	Steven Spielberg	7.7	145	http://www.imdb.com/title/tt0181689/
Mystic River	crime, drama, mystery, thriller	2003	Clint Eastwood	8	138	http://www.imdb.com/title/tt0327056/
I, Robot	action, mystery, sci_fi, thriller	2004	Alex Proyas	7	115	http://www.imdb.com/title/tt0343818/
Van Helsing	action, adventure, fantasy, mystery, thriller	2004	Stephen Sommers	5.8	131	http://www.imdb.com/title/tt0338526/
Silent Hill	horror, mystery	2006	Christophe Gans	6.5	125	http://www.imdb.com/title/tt0384537/
Harry Potter and the Order of the Phoenix	adventure, family, fantasy, mystery	2007	David Yates	7.4	138	http://www.imdb.com/title/tt0373889/
Zodiac	crime, drama, mystery, thriller	2007	David Fincher	7.7	157	http://www.imdb.com/title/tt0443706/
Angels & Demons	mystery, thriller	2009	Ron Howard	6.6	138	http://www.imdb.com/title/tt0808151/
Knowing	drama, mystery, sci_fi, thriller	2009	Alex Proyas	6.2	121	http://www.imdb.com/title/tt0448011/
Red Riding Hood	fantasy, horror, mystery, thriller	2011	Catherine Hardwicke	5.2	100	http://www.imdb.com/title/tt1486185/
Unknown	action, mystery, thriller	2011	Jaume Collet-Serra	6.9	113	http://www.imdb.com/title/tt1401152/
Abduction	action, drama, mystery, thriller	2011	John Singleton	4.8	106	http://www.imdb.com/title/tt1600195/
The Adventures of Tintin	animation, action, adventure, family, mystery	2011	Steven Spielberg	7.4	107	http://www.imdb.com/title/tt0983193/
Extremely Loud & Incredibly Close	adventure, drama, mystery	2011	Stephen Daldry	6.8	129	http://www.imdb.com/title/tt0477302/
Gone	drama, mystery, thriller	2012	Heitor Dhalia	5.7	94	http://www.imdb.com/title/tt1838544/
Red Lights	drama, mystery, thriller	2012	Rodrigo Cortés	6.1	113	http://www.imdb.com/title/tt1748179/
Like Minds	crime, horror, mystery, thriller	2006	Gregory J. Read	6.2	110	http://www.imdb.com/title/tt0425196/
The Thing	horror, mystery, sci_fi, thriller	1982	John Carpenter	8.2	109	http://www.imdb.com/title/tt0084787/
The Godfather: Part III	crime, drama, mystery, thriller	1990	Francis Ford Coppola	7.6	162	http://www.imdb.com/title/tt0099674/
Basic Instinct	mystery, thriller	1992	Paul Verhoeven	6.9	127	http://www.imdb.com/title/tt0103772/
A Few Good Men	crime, drama, mystery, thriller	1992	Rob Reiner	7.6	138	http://www.imdb.com/title/tt0104257/
Scream	crime, horror, mystery	1996	Wes Craven	7.2	111	http://www.imdb.com/title/tt0117571/
The Game	drama, mystery, thriller	1997	David Fincher	7.7	129	http://www.imdb.com/title/tt0119174/
Eyes Wide Shut	drama, mystery, thriller	1999	Stanley Kubrick	7.2	159	http://www.imdb.com/title/tt0120663/
Super Troopers	comedy, crime, mystery	2001	Jay Chandrasekhar	6.9	100	http://www.imdb.com/title/tt0247745/
The Ring	horror, mystery, thriller	2002	Gore Verbinski	7.1	115	http://www.imdb.com/title/tt0298130/
Identity	mystery, thriller	2003	James Mangold	7.2	90	http://www.imdb.com/title/tt0309698/
Saw	crime, horror, mystery	2004	James Wan	7.7	103	http://www.imdb.com/title/tt0387564/
The Amityville Horror	drama, horror, mystery, thriller	2005	Andrew Douglas	5.8	90	http://www.imdb.com/title/tt0384806/
The Da Vinci Code	mystery, thriller	2006	Ron Howard	6.4	149	http://www.imdb.com/title/tt0382625/
Lucky Number Slevin	crime, drama, mystery, thriller	2006	Paul McGuigan	7.7	110	http://www.imdb.com/title/tt0425210/
Gone Baby Gone	crime, drama, mystery, thriller	2007	Ben Affleck	7.7	114	http://www.imdb.com/title/tt0452623/
The Number 23	drama, mystery, thriller	2007	Joel Schumacher	6.2	101	http://www.imdb.com/title/tt0481369/
Paranormal Activity	horror, mystery	2007	Oren Peli	6.4	86	http://www.imdb.com/title/tt1179904/
9	animation, action, adventure, fantasy, mystery, sci_fi, thriller	2009	Shane Acker	7	79	http://www.imdb.com/title/tt0472033/
The Imaginarium of Doctor Parnassus	adventure, fantasy, mystery	2009	Terry Gilliam	6.9	123	http://www.imdb.com/title/tt1054606/
Orphan	mystery, thriller	2009	Jaume Collet-Serra	6.9	123	http://www.imdb.com/title/tt1148204/
The Thing	horror, mystery, sci_fi, thriller	2011	Matthijs van Heijningen	6.2	103	http://www.imdb.com/title/tt0905372/
The Factory	crime, mystery, thriller	2012	Morgan O'Neill	5.4	108	http://www.imdb.com/title/tt1132285/
Kiss Kiss Bang Bang	action, comedy, crime, mystery, thriller	2005	Shane Black	7.7	103	http://www.imdb.com/title/tt0373469/
Mulholland Dr.	drama, mystery, thriller	2001	David Lynch	7.9	147	http://www.imdb.com/title/tt0166924/
The Maze Runner	mystery, sci_fi, thriller	2014	Wes Ball			http://www.imdb.com/title/tt1790864/
The Devil's Advocate	drama, mystery, thriller	1997	Taylor Hackford	7.4	144	http://www.imdb.com/title/tt0118971/
Dark City	mystery, sci_fi	1998	Alex Proyas	7.7	100	http://www.imdb.com/title/tt0118929/
Wild Things	crime, mystery, thriller	1998	John McNaughton	6.5	108	http://www.imdb.com/title/tt0120890/
Sleepy Hollow	adventure, mystery	1999	Tim Burton	7.5	105	http://www.imdb.com/title/tt0162661/
Dude, Where's My Car?	comedy, mystery, sci_fi	2000	Danny Leiner	5.3	83	http://www.imdb.com/title/tt0242423/
Unbreakable	drama, mystery, sci_fi, thriller	2000	M. Night Shyamalan	7.2	106	http://www.imdb.com/title/tt0217869/
Insomnia	crime, mystery, thriller	2002	Christopher Nolan	7.2	118	http://www.imdb.com/title/tt0278504/
Scooby-Doo	adventure, comedy, family, mystery	2002	Raja Gosnell	4.8	86	http://www.imdb.com/title/tt0267913/
Signs	drama, sci_fi, thriller	2002	M. Night Shyamalan	6.7	106	http://www.imdb.com/title/tt0286106/
Phone Booth	mystery, thriller	2002	Joel Schumacher	7.1	81	http://www.imdb.com/title/tt0183649/
National Treasure	action, adventure, mystery, thriller	2004	Jon Turteltaub	6.8	131	http://www.imdb.com/title/tt0368891/
1408	horror, mystery	2007	Mikael Håfström	6.8	104	http://www.imdb.com/title/tt0450385/
Fracture	crime, drama, mystery, thriller	2007	Gregory Hoblit	7.1	113	http://www.imdb.com/title/tt0488120/
Michael Clayton	crime, drama, mystery, thriller	2007	Tony Gilroy	7.3	119	http://www.imdb.com/title/tt0465538/
Changeling	drama, history, mystery, thriller	2008	Clint Eastwood	7.8	141	http://www.imdb.com/title/tt0824747/
Eagle Eye	action, mystery, thriller	2008	D.J. Caruso	6.6	118	http://www.imdb.com/title/tt1059786/
Max Payne	action, crime, drama, mystery, thriller	2008	John Moore	5.3	100	http://www.imdb.com/title/tt0467197/
State of Play	drama, mystery	2009	Kevin Macdonald	7.1	127	http://www.imdb.com/title/tt0473705/
The Uninvited	drama, horror, mystery, thriller	2009	The Guard Brothers, The Guard Brothers	6.2	87	http://www.imdb.com/title/tt0815245/
The Fourth Kind	mystery, sci_fi, thriller	2009	Olatunde Osunsanmi	5.8	98	http://www.imdb.com/title/tt1220198/
Let Me In	drama, horror, mystery	2010	Matt Reeves	7.2	116	http://www.imdb.com/title/tt1228987/
A Nightmare on Elm Street	horror, mystery, thriller	2010	Samuel Bayer	5.1	95	http://www.imdb.com/title/tt1179056/
Final Destination 5	horror, mystery	2011	Steven Quale	5.8	92	http://www.imdb.com/title/tt1622979/
Bad Kids Go to Hell	comedy, mystery, thriller	2012	Matthew Spradlin	4.2	91	http://www.imdb.com/title/tt1865573/
The Clinic	crime, horror, mystery, thriller	2010	James Rabbitts	5.3	94	http://www.imdb.com/title/tt1345772/
Chinatown	crime, drama, mystery, thriller	1974	Roman Polanski	8.4	130	http://www.imdb.com/title/tt0071315/
The Fugitive	action, adventure, crime, mystery, thriller	1993	Andrew Davis	7.8	130	http://www.imdb.com/title/tt0106977/
Contact	drama, mystery, sci_fi, thriller	1997	Robert Zemeckis	7.3	150	http://www.imdb.com/title/tt0118884/
Psycho	horror, mystery, thriller	1998	Gus Van Sant	4.6	105	http://www.imdb.com/title/tt0155975/
The Haunting	fantasy, horror, mystery, thriller	1999	Jan de Bont	4.7	113	http://www.imdb.com/title/tt0171363/
The Ninth Gate	mystery, thriller	1999	Roman Polanski	6.7	133	http://www.imdb.com/title/tt0142688/
Final Destination	horror, mystery	2000	James Wong	6.7	98	http://www.imdb.com/title/tt0195714/
