Title	Genres	Year	Directors	IMDb Rating	Runtime (mins)	URL
Les Misérables	drama, musical, romance	2012	Tom Hooper	7.7	158	http://www.imdb.com/title/tt1707386/
Before Sunset	drama, romance	2004	Richard Linklater	8	80	http://www.imdb.com/title/tt0381681/
Pitch Perfect	comedy, music, romance	2012	Jason Moore	7.1	112	http://www.imdb.com/title/tt1981677/
Silver Linings Playbook	comedy, drama, romance	2012	David O. Russell	7.9	122	http://www.imdb.com/title/tt1045658/
The Great Gatsby	drama, romance	2013	Baz Luhrmann	7.5	142	http://www.imdb.com/title/tt1343092/
The Perks of Being a Wallflower	drama, romance	2012	Stephen Chbosky	8.1	102	http://www.imdb.com/title/tt1659337/
To the Wonder	drama, romance	2012	Terrence Malick	6.4	112	http://www.imdb.com/title/tt1595656/
Safe Haven	drama, mystery, romance, thriller	2013	Lasse Hallström	6.4	115	http://www.imdb.com/title/tt1702439/
Warm Bodies	comedy, horror, romance	2013	Jonathan Levine	7	98	http://www.imdb.com/title/tt1588173/
Rock of Ages	comedy, drama, musical, romance	2012	Adam Shankman	5.8	123	http://www.imdb.com/title/tt1336608/
The Twilight Saga: Breaking Dawn - Part 2	adventure, drama, fantasy, romance	2012	Bill Condon	5.6	115	http://www.imdb.com/title/tt1673434/
Crazy, Stupid, Love.	comedy, drama, romance	2011	Glenn Ficarra, John Requa	7.4	118	http://www.imdb.com/title/tt1570728/
Bridesmaids	comedy, romance	2011	Paul Feig	6.8	125	http://www.imdb.com/title/tt1478338/
Save the Date	comedy, romance	2012	Michael Mohan	5.3	97	http://www.imdb.com/title/tt1965065/
Twilight	drama, fantasy, romance	2008	Catherine Hardwicke	5.2	122	http://www.imdb.com/title/tt1099212/
Forrest Gump	drama, romance	1994	Robert Zemeckis	8.7	142	http://www.imdb.com/title/tt0109830/
The Notebook	drama, romance	2004	Nick Cassavetes	7.9	123	http://www.imdb.com/title/tt0332280/
Moonrise Kingdom	comedy, drama, romance	2012	Wes Anderson	7.8	94	http://www.imdb.com/title/tt1748122/
The Mortal Instruments: City of Bones	action, adventure, drama, fantasy, mystery, romance	2013	Harald Zwart			http://www.imdb.com/title/tt1538403/
Titanic	drama, romance	1997	James Cameron	7.6	194	http://www.imdb.com/title/tt0120338/
My Awkward Sexual Adventure	comedy, romance	2012	Sean Garrity	6	98	http://www.imdb.com/title/tt2112210/
Tangled	animation, comedy, family, fantasy, musical, romance	2010	Nathan Greno, Byron Howard	7.8	100	http://www.imdb.com/title/tt0398286/
Bachelorette	comedy, romance	2012	Leslye Headland	5.2	87	http://www.imdb.com/title/tt1920849/
Love Actually	comedy, drama, romance	2003	Richard Curtis	7.7	135	http://www.imdb.com/title/tt0314331/
Blue Valentine	drama, romance	2010	Derek Cianfrance	7.4	112	http://www.imdb.com/title/tt1120985/
Playing for Keeps	comedy, romance, sport	2012	Gabriele Muccino	5.5	105	http://www.imdb.com/title/tt1540128/
Divergent	action, adventure, romance, sci_fi	2014	Neil Burger			http://www.imdb.com/title/tt1840309/
Admission	comedy, drama, romance	2013	Paul Weitz	5.3	107	http://www.imdb.com/title/tt1814621/
American Pie	comedy, romance	1999	Paul Weitz	7	95	http://www.imdb.com/title/tt0163651/
The Princess Bride	adventure, comedy, family, fantasy, romance	1987	Rob Reiner	8.1	98	http://www.imdb.com/title/tt0093779/
Juno	comedy, drama, romance	2007	Jason Reitman	7.6	96	http://www.imdb.com/title/tt0467406/
The Great Gatsby	drama, romance	1974	Jack Clayton	6.2	144	http://www.imdb.com/title/tt0071577/
The Five-Year Engagement	comedy, romance	2012	Nicholas Stoller	6.2	124	http://www.imdb.com/title/tt1195478/
Eternal Sunshine of the Spotless Mind	drama, romance, sci_fi	2004	Michel Gondry	8.4	108	http://www.imdb.com/title/tt0338013/
Knocked Up	comedy, drama, romance	2007	Judd Apatow	7.2	129	http://www.imdb.com/title/tt0478311/
Friends with Benefits	comedy, romance	2011	Will Gluck	6.6	109	http://www.imdb.com/title/tt1632708/
This Means War	comedy, action, romance	2012	McG	6.3	97	http://www.imdb.com/title/tt1596350/
Burlesque	drama, musical, romance	2010	Steven Antin	6.1	119	http://www.imdb.com/title/tt1126591/
Sixteen Candles	comedy, romance	1984	John Hughes	7.1	93	http://www.imdb.com/title/tt0088128/
Scott Pilgrim vs. the World	action, comedy, fantasy, romance	2010	Edgar Wright	7.5	112	http://www.imdb.com/title/tt0446029/
Safety Not Guaranteed	comedy, romance, sci_fi	2012	Colin Trevorrow	7.1	86	http://www.imdb.com/title/tt1862079/
(500) Days of Summer	comedy, drama, romance	2009	Marc Webb	7.8	95	http://www.imdb.com/title/tt1022603/
He's Just Not That Into You	comedy, drama, romance	2009	Ken Kwapis	6.3	129	http://www.imdb.com/title/tt1001508/
LOL	comedy, drama, romance	2012	Lisa Azuelos	3.8	97	http://www.imdb.com/title/tt1592873/
The Vow	drama, romance	2012	Michael Sucsy	6.7	104	http://www.imdb.com/title/tt1606389/
Easy A	comedy, romance	2010	Will Gluck	7.1	92	http://www.imdb.com/title/tt1282140/
Midnight in Paris	comedy, fantasy, romance	2011	Woody Allen	7.7	94	http://www.imdb.com/title/tt1605783/
WALL·E	animation, adventure, family, romance, sci_fi	2008	Andrew Stanton	8.5	98	http://www.imdb.com/title/tt0910970/
Pride & Prejudice	drama, romance	2005	Joe Wright	7.7	127	http://www.imdb.com/title/tt0414387/
The Words	drama, mystery, romance	2012	Brian Klugman, Lee Sternthal	6.9	102	http://www.imdb.com/title/tt1840417/
Just Go with It	comedy, romance	2011	Dennis Dugan	6.3	117	http://www.imdb.com/title/tt1564367/
Gattaca	drama, romance, sci_fi, thriller	1997	Andrew Niccol	7.8	106	http://www.imdb.com/title/tt0119177/
The 40 Year Old Virgin	comedy, romance	2005	Judd Apatow	7.2	116	http://www.imdb.com/title/tt0405422/
Airplane!	comedy	1980	Jim Abrahams, David Zucker	7.8	88	http://www.imdb.com/title/tt0080339/
The Girl Next Door	comedy, drama, romance	2004	Luke Greenfield	6.7	108	http://www.imdb.com/title/tt0265208/
Hairspray	comedy, musical, romance	2007	Adam Shankman	6.8	117	http://www.imdb.com/title/tt0427327/
Aladdin	animation, adventure, comedy, family, fantasy, musical, romance	1992	Ron Clements, John Musker	7.9	90	http://www.imdb.com/title/tt0103639/
What to Expect When You're Expecting	comedy, drama, romance	2012	Kirk Jones	5.5	110	http://www.imdb.com/title/tt1586265/
Vanilla Sky	mystery, romance, sci_fi, thriller	2001	Cameron Crowe	6.8	136	http://www.imdb.com/title/tt0259711/
The Sessions	comedy, drama, romance	2012	Ben Lewin	7.2	95	http://www.imdb.com/title/tt1866249/
Weird Science	comedy, fantasy, romance	1985	John Hughes	6.4	94	http://www.imdb.com/title/tt0090305/
The Adjustment Bureau	romance, sci_fi, thriller	2011	George Nolfi	7	106	http://www.imdb.com/title/tt1385826/
The Twilight Saga: Breaking Dawn - Part 1	adventure, drama, fantasy, romance	2011	Bill Condon	4.8	117	http://www.imdb.com/title/tt1324999/
No Strings Attached	comedy, romance	2011	Ivan Reitman	6.1	108	http://www.imdb.com/title/tt1411238/
Yes Man	comedy, romance	2008	Peyton Reed	6.8	104	http://www.imdb.com/title/tt1068680/
