Title	Genres	Year	Directors	IMDb Rating	Runtime (mins)	URL
Waterworld	action, adventure, sci_fi, thriller	1995	Kevin Reynolds	5.9	135	http://www.imdb.com/title/tt0114898/
Flash Gordon	action, adventure, fantasy, sci_fi	1980	Mike Hodges	6.3	111	http://www.imdb.com/title/tt0080745/
WarGames	sci_fi, thriller	1983	John Badham	7	114	http://www.imdb.com/title/tt0086567/
RoboCop	action, crime, sci_fi	1987	Paul Verhoeven	7.5	102	http://www.imdb.com/title/tt0093870/
The Abyss	adventure, drama, sci_fi, thriller	1989	James Cameron	7.6	171	http://www.imdb.com/title/tt0096754/
Honey, I Shrunk the Kids	adventure, comedy, family, sci_fi	1989	Joe Johnston	6.2	93	http://www.imdb.com/title/tt0097523/
Teenage Mutant Ninja Turtles	action, adventure, comedy, crime, drama, family, sci_fi	1990	Steve Barron	6.5	93	http://www.imdb.com/title/tt0100758/
Tremors	comedy, horror, sci_fi	1990	Ron Underwood	7.1	96	http://www.imdb.com/title/tt0100814/
The Rocketeer	action, adventure, family, sci_fi	1991	Joe Johnston	6.3	108	http://www.imdb.com/title/tt0102803/
Terminator 2: Judgment Day	action, sci_fi, thriller	1991	James Cameron	8.6	137	http://www.imdb.com/title/tt0103064/
Alien³	action, sci_fi, thriller	1992	David Fincher	6.4	114	http://www.imdb.com/title/tt0103644/
Jurassic Park	adventure, sci_fi	1993	Steven Spielberg	8	127	http://www.imdb.com/title/tt0107290/
Mortal Kombat	action, adventure, fantasy, sci_fi, thriller	1995	Paul Anderson	5.6	101	http://www.imdb.com/title/tt0113855/
Mars Attacks!	comedy, sci_fi	1996	Tim Burton	6.3	106	http://www.imdb.com/title/tt0116996/
Space Jam	animation, adventure, comedy, family, sci_fi, sport	1996	Joe Pytka	5.9	88	http://www.imdb.com/title/tt0117705/
The Lost World: Jurassic Park	action, adventure, sci_fi	1997	Steven Spielberg	6.3	129	http://www.imdb.com/title/tt0119567/
Men in Black	comedy, sci_fi	1997	Barry Sonnenfeld	7.2	98	http://www.imdb.com/title/tt0119654/
Starship Troopers	action, adventure, sci_fi, thriller	1997	Paul Verhoeven	7.1	129	http://www.imdb.com/title/tt0120201/
Armageddon	action, adventure, sci_fi, thriller	1998	Michael Bay	6.4	151	http://www.imdb.com/title/tt0120591/
Deep Impact	action, drama, sci_fi, thriller	1998	Mimi Leder	6	120	http://www.imdb.com/title/tt0120647/
Sphere	drama, mystery, sci_fi, thriller	1998	Barry Levinson	5.8	134	http://www.imdb.com/title/tt0120184/
The Truman Show	comedy, drama, sci_fi	1998	Peter Weir	8	103	http://www.imdb.com/title/tt0120382/
The Iron Giant	animation, action, adventure, comedy, crime, family, sci_fi	1999	Brad Bird	7.9	86	http://www.imdb.com/title/tt0129167/
The Matrix	action, adventure, sci_fi	1999	The Wachowski Brothers, The Wachowski Brothers	8.7	136	http://www.imdb.com/title/tt0133093/
Star Wars: Episode I - The Phantom Menace	action, adventure, fantasy, sci_fi	1999	George Lucas	6.5	136	http://www.imdb.com/title/tt0120915/
Unbreakable	drama, mystery, sci_fi, thriller	2000	M. Night Shyamalan	7.2	106	http://www.imdb.com/title/tt0217869/
X-Men	action, adventure, sci_fi	2000	Bryan Singer	7.4	104	http://www.imdb.com/title/tt0120903/
A.I. Artificial Intelligence	adventure, drama, sci_fi	2001	Steven Spielberg	7	146	http://www.imdb.com/title/tt0212720/
Atlantis: The Lost Empire	animation, adventure, family, sci_fi	2001	Gary Trousdale, Kirk Wise	6.5	95	http://www.imdb.com/title/tt0230011/
Spy Kids	action, adventure, comedy, family, sci_fi	2001	Robert Rodriguez	5.5	88	http://www.imdb.com/title/tt0227538/
Lilo & Stitch	animation, adventure, comedy, family, sci_fi	2002	Dean DeBlois, Chris Sanders	7	85	http://www.imdb.com/title/tt0275847/
