Title	Year	Directors	IMDb Rating	Runtime (mins)	URL
42	2013	Brian Helgeland	7.6	128	http://www.imdb.com/title/tt0453562/
Warrior	2011	Gavin O'Connor	8.2	140	http://www.imdb.com/title/tt1291584/
Remember the Titans	2000	Boaz Yakin	7.6	113	http://www.imdb.com/title/tt0210945/
Dodgeball: A True Underdog Story	2004	Rawson Marshall Thurber	6.6	92	http://www.imdb.com/title/tt0364725/
Cars	2006	John Lasseter, Joe Ranft	7.3	117	http://www.imdb.com/title/tt0317219/
Talladega Nights: The Ballad of Ricky Bobby	2006	Adam McKay	6.4	108	http://www.imdb.com/title/tt0415306/
The Blind Side	2009	John Lee Hancock	7.6	129	http://www.imdb.com/title/tt0878804/
Moneyball	2011	Bennett Miller	7.6	133	http://www.imdb.com/title/tt1210166/
Real Steel	2011	Shawn Levy	7.1	127	http://www.imdb.com/title/tt0433035/
Chasing Mavericks	2012	Michael Apted, Curtis Hanson	6.8	116	http://www.imdb.com/title/tt1629757/
Rush	2013	Ron Howard		123	http://www.imdb.com/title/tt1979320/
The Sandlot	1993	David Mickey Evans	7.6	101	http://www.imdb.com/title/tt0108037/
Million Dollar Baby	2004	Clint Eastwood	8.1	132	http://www.imdb.com/title/tt0405159/
The Fighter	2010	David O. Russell	7.9	116	http://www.imdb.com/title/tt0964517/
The Karate Kid	2010	Harald Zwart	6.2	140	http://www.imdb.com/title/tt1155076/
Trouble with the Curve	2012	Robert Lorenz	6.7	111	http://www.imdb.com/title/tt2083383/
Rocky	1976	John G. Avildsen	8.1	119	http://www.imdb.com/title/tt0075148/
The Karate Kid	1984	John G. Avildsen	7.1	126	http://www.imdb.com/title/tt0087538/
Never Back Down	2008	Jeff Wadlow	6.4	110	http://www.imdb.com/title/tt1023111/
Goon	2011	Michael Dowse	6.8	92	http://www.imdb.com/title/tt1456635/
A League of Their Own	1992	Penny Marshall	7	128	http://www.imdb.com/title/tt0104694/
The Longest Yard	2005	Peter Segal	6.2	113	http://www.imdb.com/title/tt0398165/
Invictus	2009	Clint Eastwood	7.3	134	http://www.imdb.com/title/tt1057500/
Soul Surfer	2011	Sean McNamara	6.9	106	http://www.imdb.com/title/tt1596346/
Green Street Hooligans	2005	Lexi Alexander	7.5	109	http://www.imdb.com/title/tt0385002/
Caddyshack	1980	Harold Ramis	7.2	98	http://www.imdb.com/title/tt0080487/
The Natural	1984	Barry Levinson	7.4	134	http://www.imdb.com/title/tt0087781/
Field of Dreams	1989	Phil Alden Robinson	7.5	107	http://www.imdb.com/title/tt0097351/
Space Jam	1996	Joe Pytka	5.9	88	http://www.imdb.com/title/tt0117705/
Bring It On	2000	Peyton Reed	5.8	98	http://www.imdb.com/title/tt0204946/
Friday Night Lights	2004	Peter Berg	7.1	118	http://www.imdb.com/title/tt0390022/
Cinderella Man	2005	Ron Howard	7.9	144	http://www.imdb.com/title/tt0352248/
Coach Carter	2005	Thomas Carter	7.1	136	http://www.imdb.com/title/tt0393162/
Raging Bull	1980	Martin Scorsese	8.3	129	http://www.imdb.com/title/tt0081398/
Rocky IV	1985	Sylvester Stallone	6.4	91	http://www.imdb.com/title/tt0089927/
Days of Thunder	1990	Tony Scott	5.7	107	http://www.imdb.com/title/tt0099371/
Kingpin	1996	Bobby Farrelly, Peter Farrelly	6.8	113	http://www.imdb.com/title/tt0116778/
The Waterboy	1998	Frank Coraci	5.9	90	http://www.imdb.com/title/tt0120484/
Any Given Sunday	1999	Oliver Stone	6.7	150	http://www.imdb.com/title/tt0146838/
The Greatest Game Ever Played	2005	Bill Paxton	7.3	120	http://www.imdb.com/title/tt0388980/
Rocky Balboa	2006	Sylvester Stallone	7.2	102	http://www.imdb.com/title/tt0479143/
Blades of Glory	2007	Josh Gordon, Will Speck	6.3	93	http://www.imdb.com/title/tt0445934/
Surf's Up	2007	Ash Brannon, Chris Buck	6.8	85	http://www.imdb.com/title/tt0423294/
The Bad News Bears	1976	Michael Ritchie	7.1	102	http://www.imdb.com/title/tt0074174/
Rocky III	1982	Sylvester Stallone	6.4	99	http://www.imdb.com/title/tt0084602/
Major League	1989	David Ward	7	107	http://www.imdb.com/title/tt0097815/
The Mighty Ducks	1992	Stephen Herek	6.1	100	http://www.imdb.com/title/tt0104868/
White Men Can't Jump	1992	Ron Shelton	6.5	115	http://www.imdb.com/title/tt0105812/
