Title	Genres	Year	Directors	IMDb Rating	Runtime (mins)	URL
Killing Them Softly	crime, thriller	2012	Andrew Dominik	6.3	97	http://www.imdb.com/title/tt1764234/
Pulp Fiction	crime, drama, thriller	1994	Quentin Tarantino	9	154	http://www.imdb.com/title/tt0110912/
The Silence of the Lambs	crime, drama, thriller	1991	Jonathan Demme	8.7	118	http://www.imdb.com/title/tt0102926/
Jack Reacher	action, crime, thriller	2012	Christopher McQuarrie	7	130	http://www.imdb.com/title/tt0790724/
Goodfellas	biography, crime, drama, thriller	1990	Martin Scorsese	8.8	146	http://www.imdb.com/title/tt0099685/
Se7en	crime, mystery, thriller	1995	David Fincher	8.7	127	http://www.imdb.com/title/tt0114369/
xXx	action, thriller	2002	Rob Cohen	5.7	124	http://www.imdb.com/title/tt0295701/
Sin City	crime, thriller	2005	Frank Miller, Robert Rodriguez	8.2	124	http://www.imdb.com/title/tt0401792/
The Departed	crime, drama, thriller	2006	Martin Scorsese	8.5	151	http://www.imdb.com/title/tt0407887/
The Prestige	drama, mystery, thriller	2006	Christopher Nolan	8.4	130	http://www.imdb.com/title/tt0482571/
V for Vendetta	action, fantasy, sci_fi, thriller	2005	James McTeigue	8.2	132	http://www.imdb.com/title/tt0434409/
Casino Royale	action, crime, thriller	2006	Martin Campbell	7.9	144	http://www.imdb.com/title/tt0381061/
Shooter	action, crime, drama, mystery, thriller	2007	Antoine Fuqua	7.1	124	http://www.imdb.com/title/tt0822854/
Transformers	action, adventure, sci_fi, thriller	2007	Michael Bay	7.1	144	http://www.imdb.com/title/tt0418279/
The Dark Knight	action, crime, drama, thriller	2008	Christopher Nolan	9	152	http://www.imdb.com/title/tt0468569/
Quantum of Solace	action, adventure, crime, thriller	2008	Marc Forster	6.7	106	http://www.imdb.com/title/tt0830515/
G.I. Joe: The Rise of Cobra	action, adventure, sci_fi, thriller	2009	Stephen Sommers	5.7	118	http://www.imdb.com/title/tt1046173/
Taken	action, crime, thriller	2008	Pierre Morel	7.9	93	http://www.imdb.com/title/tt0936501/
X-Men Origins: Wolverine	action, adventure, sci_fi, thriller	2009	Gavin Hood	6.7	107	http://www.imdb.com/title/tt0458525/
Inception	action, adventure, mystery, sci_fi, thriller	2010	Christopher Nolan	8.8	148	http://www.imdb.com/title/tt1375666/
Red	action, comedy, crime, thriller	2010	Robert Schwentke	7	111	http://www.imdb.com/title/tt1245526/
Shutter Island	mystery, thriller	2010	Martin Scorsese	8	138	http://www.imdb.com/title/tt1130884/
Fast Five	action, crime, thriller	2011	Justin Lin	7.3	130	http://www.imdb.com/title/tt1596343/
Limitless	mystery, sci_fi, thriller	2011	Neil Burger	7.3	105	http://www.imdb.com/title/tt1219289/
The Girl with the Dragon Tattoo	crime, drama, mystery, thriller	2011	David Fincher	7.9	158	http://www.imdb.com/title/tt1568346/
In Time	action, sci_fi, thriller	2011	Andrew Niccol	6.6	109	http://www.imdb.com/title/tt1637688/
Mission: Impossible - Ghost Protocol	action, thriller	2011	Brad Bird	7.4	133	http://www.imdb.com/title/tt1229238/
Argo	drama, history, thriller	2012	Ben Affleck	7.9	120	http://www.imdb.com/title/tt1024648/
Battleship	action, adventure, sci_fi, thriller, war	2012	Peter Berg	5.9	131	http://www.imdb.com/title/tt1440129/
The Bourne Legacy	action, adventure, mystery, thriller	2012	Tony Gilroy	6.7	135	http://www.imdb.com/title/tt1194173/
The Cabin in the Woods	horror, mystery, thriller	2011	Drew Goddard	7.1	95	http://www.imdb.com/title/tt1259521/
The Dark Knight Rises	action, crime, thriller	2012	Christopher Nolan	8.6	165	http://www.imdb.com/title/tt1345836/
End of Watch	action, crime, drama, thriller	2012	David Ayer	7.6	109	http://www.imdb.com/title/tt1855199/
The Expendables 2	action, adventure, thriller	2012	Simon West	6.8	103	http://www.imdb.com/title/tt1764651/
Looper	action, crime, sci_fi, thriller	2012	Rian Johnson	7.6	119	http://www.imdb.com/title/tt1276104/
Man on a Ledge	action, crime, thriller	2012	Asger Leth	6.6	102	http://www.imdb.com/title/tt1568338/
Savages	crime, drama, thriller	2012	Oliver Stone	6.5	131	http://www.imdb.com/title/tt1615065/
Sinister	horror, mystery, thriller	2012	Scott Derrickson	6.7	110	http://www.imdb.com/title/tt1922777/
Skyfall	action, adventure, thriller	2012	Sam Mendes	7.8	143	http://www.imdb.com/title/tt1074638/
Taken 2	action, crime, thriller	2012	Olivier Megaton	6.2	92	http://www.imdb.com/title/tt1397280/
Total Recall	action, adventure, sci_fi, thriller	2012	Len Wiseman	6.3	118	http://www.imdb.com/title/tt1386703/
Zero Dark Thirty	drama, history, thriller	2012	Kathryn Bigelow	7.5	157	http://www.imdb.com/title/tt1790885/
A Good Day to Die Hard	action, crime, thriller	2013	John Moore	5.4	98	http://www.imdb.com/title/tt1606378/
Trance	crime, drama, mystery, thriller	2013	Danny Boyle	7.2	101	http://www.imdb.com/title/tt1924429/
Side Effects	crime, drama, thriller	2013	Steven Soderbergh	7.2	106	http://www.imdb.com/title/tt2053463/
Disconnect	drama, thriller	2012	Henry Alex Rubin	7	115	http://www.imdb.com/title/tt1433811/
The Company You Keep	drama, thriller	2012	Robert Redford	6.3	121	http://www.imdb.com/title/tt1381404/
Olympus Has Fallen	action, thriller	2013	Antoine Fuqua	6.9	120	http://www.imdb.com/title/tt2302755/
G.I. Joe: Retaliation	action, adventure, sci_fi, thriller	2013	Jon M. Chu	6.2	110	http://www.imdb.com/title/tt1583421/
World War Z	action, drama, horror, sci_fi, thriller	2013	Marc Forster	7.3	116	http://www.imdb.com/title/tt0816711/
The Hunger Games: Catching Fire	action, adventure, sci_fi, thriller	2013	Francis Lawrence			http://www.imdb.com/title/tt1951264/
Elysium	action, drama, sci_fi, thriller	2013	Neill Blomkamp			http://www.imdb.com/title/tt1535108/
Iron Man 3	action, adventure, sci_fi	2013	Shane Black	7.6	130	http://www.imdb.com/title/tt1300854/
Now You See Me	crime, thriller	2013	Louis Leterrier	7.4	115	http://www.imdb.com/title/tt1670345/
Kick-Ass 2	action, comedy, crime, thriller	2013	Jeff Wadlow		113	http://www.imdb.com/title/tt1650554/
The Lords of Salem	horror, thriller	2012	Rob Zombie	5.3	101	http://www.imdb.com/title/tt1731697/
The Impossible	drama, history, thriller	2012	J.A. Bayona	7.6	114	http://www.imdb.com/title/tt1649419/
