Title	Genres	Year	Directors	IMDb Rating	Runtime (mins)	URL
Lincoln	biography, drama, history, war	2012	Steven Spielberg	7.5	150	http://www.imdb.com/title/tt0443272/
Army of Shadows	drama, war	1969	Jean-Pierre Melville	8.1	145	http://www.imdb.com/title/tt0064040/
Tae Guk Gi: The Brotherhood of War	action, drama, war	2004	Je-gyu Kang	8	140	http://www.imdb.com/title/tt0386064/
The Front Line	drama, history, war	2011	Hun Jang	7.1	133	http://www.imdb.com/title/tt2007387/
J.S.A.: Joint Security Area	drama, thriller, war	2000	Chan-wook Park	7.8	110	http://www.imdb.com/title/tt0260991/
Tigerland	drama, war	2000	Joel Schumacher	7	101	http://www.imdb.com/title/tt0170691/
The Quiet American	drama, mystery, romance, thriller, war	2002	Phillip Noyce	7.1	101	http://www.imdb.com/title/tt0258068/
Rescue Dawn	adventure, biography, drama, war	2006	Werner Herzog	7.4	126	http://www.imdb.com/title/tt0462504/
Buffalo Soldiers	comedy, crime, drama, thriller, war	2001	Gregor Jordan	6.8	98	http://www.imdb.com/title/tt0252299/
Cold Mountain	drama, romance, war	2003	Anthony Minghella	7.2	154	http://www.imdb.com/title/tt0159365/
Ride with the Devil	drama, romance, war, western	1999	Ang Lee	6.6	138	http://www.imdb.com/title/tt0134154/
Three Kings	action, adventure, comedy, drama, war	1999	David O. Russell	7.2	114	http://www.imdb.com/title/tt0120188/
Courage Under Fire	drama, mystery, thriller, war	1996	Edward Zwick	6.5	117	http://www.imdb.com/title/tt0115956/
Jarhead	biography, drama, war	2005	Sam Mendes	7	125	http://www.imdb.com/title/tt0418763/
Green Zone	action, drama, thriller, war	2010	Paul Greengrass	6.9	115	http://www.imdb.com/title/tt0947810/
The Unit	action, drama, thriller, war	2006		7.2	60	http://www.imdb.com/title/tt0460690/
Lions for Lambs	drama, thriller, war	2007	Robert Redford	6.1	92	http://www.imdb.com/title/tt0891527/
Restrepo	documentary, war	2010	Tim Hetherington, Sebastian Junger	7.5	93	http://www.imdb.com/title/tt1559549/
Lone Survivor	action, drama, thriller, war	2013	Peter Berg			http://www.imdb.com/title/tt1091191/
Combat Hospital	drama, war	2011		6.8	42	http://www.imdb.com/title/tt1829891/
Home of the Brave	action, drama, war	2006	Irwin Winkler	5.5	106	http://www.imdb.com/title/tt0763840/
Stop-Loss	drama, war	2008	Kimberly Peirce	6.4	112	http://www.imdb.com/title/tt0489281/
Generation Kill	drama, war	2008		8.6		http://www.imdb.com/title/tt0995832/
The Hurt Locker	drama, thriller, war	2008	Kathryn Bigelow	7.7	131	http://www.imdb.com/title/tt0887912/
The Messenger	drama, romance, war	2009	Oren Moverman	7.2	113	http://www.imdb.com/title/tt0790712/
Taking Chance	drama, war	2009	Ross Katz	7.3	77	http://www.imdb.com/title/tt1019454/
Special Forces	action, drama, war	2011	Stéphane Rybojad	6.1	109	http://www.imdb.com/title/tt1656192/
Act of Valor	action, thriller, war	2012	Mouse McCoy, Scott Waugh	6.4	110	http://www.imdb.com/title/tt1591479/
Arn: The Knight Templar	action, adventure, drama, romance, war	2007	Peter Flinth	6.5	139	http://www.imdb.com/title/tt0837106/
Mongol: The Rise of Genghis Khan	biography, drama, history, war	2007	Sergey Bodrov	7.2	126	http://www.imdb.com/title/tt0416044/
Saving Private Ryan	action, drama, war	1998	Steven Spielberg	8.6	169	http://www.imdb.com/title/tt0120815/
The Pacific	action, adventure, drama, history, war	2010		8.3		http://www.imdb.com/title/tt0374463/
Sarah's Key	drama, war	2010	Gilles Paquet-Brenner	7.3	111	http://www.imdb.com/title/tt1668200/
Age of Heroes	action, adventure, drama, thriller, war	2011	Adrian Vitoria	5.5	90	http://www.imdb.com/title/tt1590950/
Memorial Day	action, drama, history, war	2011	Samuel Fischer	5.6	104	http://www.imdb.com/title/tt1694118/
War of the Dead	action, adventure, horror, sci_fi, thriller, war	2011	Marko Makilaakso	4	86	http://www.imdb.com/title/tt0780645/
Fortress	action, drama, war	2012	Mike Phillips	4.6	93	http://www.imdb.com/title/tt1558575/
In Darkness	drama, war	2011	Agnieszka Holland	7.1	145	http://www.imdb.com/title/tt1417075/
My Way	action, drama, history, war	2011	Je-gyu Kang	7.3	137	http://www.imdb.com/title/tt1606384/
The Third Half	drama, history, romance, sport, war	2012	Darko Mitrevski	7.6	113	http://www.imdb.com/title/tt2069100/
Into the White	action, drama, war	2012	Petter Næss	7	100	http://www.imdb.com/title/tt1876277/
Flyboys	action, adventure, drama, history, romance, war	2006	Tony Bill	6.5	140	http://www.imdb.com/title/tt0454824/
Beneath Hill 60	drama, history, war	2010	Jeremy Hartley Sims	6.9	122	http://www.imdb.com/title/tt1418646/
Joyeux Noel	drama, history, music, romance, war	2005	Christian Carion	7.7	116	http://www.imdb.com/title/tt0424205/
