Title	Genres	Year	Directors	IMDb Rating	Runtime (mins)	URL
The Legend of the Lone Ranger	action, adventure, western	1981	William A. Fraker	4.5	98	http://www.imdb.com/title/tt0082648/
Bronco Billy	action, adventure, comedy, drama, romance, western	1980	Clint Eastwood	6	116	http://www.imdb.com/title/tt0080472/
Bad Girls	western	1994	Jonathan Kaplan	4.8	99	http://www.imdb.com/title/tt0109198/
Almost Heroes	adventure, comedy, western	1998	Christopher Guest	5.4	90	http://www.imdb.com/title/tt0119053/
Shanghai Noon	action, adventure, comedy, western	2000	Tom Dey	6.5	110	http://www.imdb.com/title/tt0184894/
American Outlaws	action, western	2001	Les Mayfield	5.7	94	http://www.imdb.com/title/tt0244000/
Spirit: Stallion of the Cimarron	animation, adventure, comedy, family, romance, western	2002	Kelly Asbury, Lorna Cook	6.7	83	http://www.imdb.com/title/tt0166813/
Around the World in 80 Days	action, adventure, comedy, family, romance, western	2004	Frank Coraci	5.7	120	http://www.imdb.com/title/tt0327437/
The Legend of Zorro	action, adventure, western	2005	Martin Campbell	5.8	129	http://www.imdb.com/title/tt0386140/
Rango	animation, adventure, comedy, family, western	2011	Gore Verbinski	7.3	107	http://www.imdb.com/title/tt1192628/
Rooster Cogburn	western	1975	Stuart Millar	6.6	108	http://www.imdb.com/title/tt0073636/
My Name Is Nobody	western, comedy	1973	Tonino Valerii	7.3	117	http://www.imdb.com/title/tt0070215/
Trinity Is STILL My Name!	comedy, western	1971	E.B. Clucher	7	117	http://www.imdb.com/title/tt0068154/
Soldier Blue	history, western	1970	Ralph Nelson	6.7	112	http://www.imdb.com/title/tt0066390/
Chisum	biography, western	1970	Andrew V. McLaglen	6.6	111	http://www.imdb.com/title/tt0065547/
Guns of Paradise	drama, western	1988	Richard M. Rawlings Jr.	7.5	60	http://www.imdb.com/title/tt0094473/
The Young Riders	romance, western	1989		7.6	60	http://www.imdb.com/title/tt0096732/
Hud	drama	1963	Martin Ritt	7.9	112	http://www.imdb.com/title/tt0057163/
For a Few Dollars More	western	1965	Sergio Leone	8.3	132	http://www.imdb.com/title/tt0059578/
Django	western	1966	Sergio Corbucci	7.2	92	http://www.imdb.com/title/tt0060315/
Death Rides a Horse	western	1967	Giulio Petroni	7	120	http://www.imdb.com/title/tt0064208/
The Great Silence	western	1968	Sergio Corbucci	7.7	105	http://www.imdb.com/title/tt0063032/
Charro!	western	1969	Charles Marquis Warren	5.4	98	http://www.imdb.com/title/tt0064155/
Death of a Gunfighter	western	1969	Allen Smithee, Allen Smithee	6.3	100	http://www.imdb.com/title/tt0064217/
The Undefeated	western	1969	Andrew V. McLaglen	6.4	119	http://www.imdb.com/title/tt0065150/
3:10 to Yuma	action, crime, drama, western	2007	James Mangold	7.8	122	http://www.imdb.com/title/tt0381849/
Bury My Heart at Wounded Knee	drama, history, western	2007	Yves Simoneau	7.1	133	http://www.imdb.com/title/tt0821638/
Blackthorn	western	2011	Mateo Gil	6.5	102	http://www.imdb.com/title/tt1629705/
The Legend of Hell's Gate: An American Conspiracy	action, adventure, history, western	2011	Tanner Beard	3.8	108	http://www.imdb.com/title/tt1220217/
Django Unchained	adventure, western	2012	Quentin Tarantino	8.5	165	http://www.imdb.com/title/tt1853728/
The Lone Ranger	action, adventure, western	2013	Gore Verbinski		149	http://www.imdb.com/title/tt1210819/
El Topo	western	1970	Alexandro Jodorowsky	7.3	125	http://www.imdb.com/title/tt0067866/
Big Jake	action, crime, drama, western	1971	George Sherman	6.9	110	http://www.imdb.com/title/tt0066831/
Duck, You Sucker	adventure, western	1971	Sergio Leone	7.6	157	http://www.imdb.com/title/tt0067140/
Man in the Wilderness	adventure, western	1971	Richard C. Sarafian	6.8	104	http://www.imdb.com/title/tt0067388/
Cahill U.S. Marshal	drama, western	1973	Andrew V. McLaglen	6.2	103	http://www.imdb.com/title/tt0069834/
Bite the Bullet	action, adventure, western	1975	Richard Brooks	6.7	132	http://www.imdb.com/title/tt0072705/
The Good, the Bad and the Ugly	adventure, western	1966	Sergio Leone	9	161	http://www.imdb.com/title/tt0060196/
A Fistful of Dollars	western	1964	Sergio Leone	8	99	http://www.imdb.com/title/tt0058461/
Butch Cassidy and the Sundance Kid	adventure, biography, crime, western	1969	George Roy Hill	8.2	110	http://www.imdb.com/title/tt0064115/
Ride the High Country	adventure, drama, romance, western	1962	Sam Peckinpah	7.5	94	http://www.imdb.com/title/tt0056412/
Shenandoah	drama, war, western	1965	Andrew V. McLaglen	7.2	105	http://www.imdb.com/title/tt0059711/
Gunless	action, comedy, drama, western	2010	William Phillips	6.3	89	http://www.imdb.com/title/tt1376195/
Joe Kidd	western	1972	John Sturges	6.4	88	http://www.imdb.com/title/tt0068768/
All the Pretty Horses	drama, romance, western	2000	Billy Bob Thornton	5.7	116	http://www.imdb.com/title/tt0149624/
Silverado	action, crime, drama, western	1985	Lawrence Kasdan	7.1	133	http://www.imdb.com/title/tt0090022/
Appaloosa	crime, drama, western	2008	Ed Harris	6.8	115	http://www.imdb.com/title/tt0800308/
Little House on the Prairie	drama, family, romance, western	1974		6.8	60	http://www.imdb.com/title/tt0071007/
Vegas	action, crime, drama, mystery, western	2012		6.9		http://www.imdb.com/title/tt2262383/
Cowboys & Aliens	action, sci_fi, thriller, western	2011	Jon Favreau	6.1	119	http://www.imdb.com/title/tt0409847/
Unforgiven	western	1992	Clint Eastwood	8.3	131	http://www.imdb.com/title/tt0105695/
True Grit	adventure, drama, western	2010	Ethan Coen, Joel Coen	7.7	110	http://www.imdb.com/title/tt1403865/
Guns of the Magnificent Seven	western	1969	Paul Wendkos	5.4	105	http://www.imdb.com/title/tt0064395/
The Way West	adventure, western	1967	Andrew V. McLaglen	6.1	122	http://www.imdb.com/title/tt0062479/
The Magnificent Seven Ride!	western	1972	George McCowan	5.3	100	http://www.imdb.com/title/tt0068897/
